	Calb2_tdTpositive_cell_26	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_21	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_100	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_43	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_110	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_148	Slc17a6_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_51	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14
Bai2	0.0	7.01	1.35	4.8	0.22	0.49	0.15	0.0	0.0	0.12	0.36	9.09	0.36	0.25	0.4	10.65	0.3	1.6	0.19	0.09	0.0	0.0	0.0	0.95	0.29	0.42	2.05
Ccl27b	0.0	44.05	160.73	51.88	38.81	103.02	49.23	0.03	0.0	34.34	99.91	121.98	49.81	50.44	91.97	111.82	210.22	116.43	0.0	4.89	1.88	0.0	0.52	138.81	91.35	182.32	63.63
Chrm4	0.0	0.0	0.25	0.4	0.0	0.0	0.0	0.0	0.34	0.14	0.89	1.12	0.22	13.95	0.65	0.69	1.03	1.46	0.3	0.0	0.0	0.0	0.0	0.82	0.95	27.79	0.55
Entpd7	0.0	8.54	5.86	9.8	18.05	2.28	5.17	0.01	0.0	33.85	6.22	1.52	9.86	14.25	31.04	29.4	18.89	19.11	0.27	0.0	5.73	0.0	2.41	15.72	7.15	14.2	7.84
Faah	0.0	1.74	1.44	12.48	0.0	14.18	0.0	0.06	25.98	1.24	57.58	54.03	71.62	14.81	37.2	33.63	5.41	1.64	0.0	0.0	0.0	0.0	0.0	77.61	10.56	74.68	16.64
Fam84b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.32	100.49	0.77	0.23	43.09	1.56	12.26	0.0	0.0	0.0	0.0	0.0	29.72	6.41	36.5	2.13
Fezf2	0.0	41.31	12.13	35.45	39.93	59.31	0.0	0.0	0.0	0.0	89.86	64.33	133.66	142.64	61.26	141.23	169.92	51.75	0.0	0.0	0.0	0.0	0.0	102.6	62.13	1.1	89.97
Fscn1	0.22	5.7	23.58	3.76	3.98	26.87	2.57	0.0	2.02	0.0	21.95	8.83	3.66	18.24	6.45	28.97	10.97	14.86	7.54	0.09	3.55	0.0	0.0	0.36	8.65	26.29	22.7
Gap43	1494.35	1755.86	2221.68	2246.33	1951.27	1840.29	1914.81	1080.02	1876.66	2404.7	2003.44	2245.79	2156.61	1929.65	2113.94	1680.98	1835.25	1979.33	1556.21	1477.64	1573.67	1039.69	1245.97	2399.73	2352.37	1879.73	2129.14
Gm13306	0.0	44.05	160.73	51.88	38.81	103.02	49.23	0.03	0.0	34.34	99.91	121.98	49.81	50.44	91.97	111.82	210.22	116.43	0.0	4.89	1.88	0.0	0.52	138.81	91.35	182.32	63.63
Gm2002	0.0	0.39	0.65	0.0	0.0	2.85	0.08	0.0	0.12	0.0	3.88	6.04	0.0	0.0	1.02	2.91	3.3	0.06	0.0	0.0	0.0	0.0	0.0	2.41	0.06	0.37	4.74
Gm2506	0.0	44.05	160.73	51.88	38.81	103.02	49.23	0.03	0.0	34.34	99.91	121.98	49.81	50.44	91.97	111.82	210.22	116.43	0.0	4.89	1.88	0.0	0.52	138.81	91.35	182.32	63.63
Hadha	0.0	13.23	8.4	0.0	0.0	22.64	0.0	3.2	0.0	13.89	33.06	69.01	0.16	0.11	96.33	39.37	25.44	10.04	0.0	0.0	0.0	0.0	0.0	8.45	0.08	56.54	30.89
Il11ra2	0.0	0.39	0.65	0.0	0.0	2.85	0.08	0.0	0.12	0.0	3.88	6.04	0.0	0.0	1.02	2.91	3.3	0.06	0.0	0.0	0.0	0.0	0.0	2.41	0.06	0.37	4.74
Iqsec1	5.88	14.91	16.04	23.19	19.22	26.65	24.63	0.38	10.2	1.74	27.41	28.1	24.44	103.58	81.64	21.77	29.35	36.63	14.68	9.02	14.43	7.36	13.21	29.55	34.77	24.9	20.27
Mfsd4	29.85	62.8	70.71	28.17	55.84	84.62	89.18	3.85	5.56	56.62	80.23	81.21	69.43	76.73	121.64	97.74	166.17	158.89	52.42	37.97	13.41	13.68	13.6	83.39	56.94	133.91	56.44
Ndst3	0.12	21.49	0.38	6.1	0.1	31.94	7.14	0.05	0.11	0.17	13.61	1.26	1.47	64.95	23.02	51.04	11.65	40.51	0.0	0.0	0.0	0.07	0.2	0.12	40.78	1.69	31.16
Nos1ap	0.0	39.2	58.93	1.12	99.58	64.14	24.81	4.94	9.25	74.7	86.85	46.58	42.49	110.11	73.67	52.7	25.55	71.03	0.0	10.06	0.0	0.0	0.0	153.45	5.71	55.57	69.02
Odz3	0.0	18.06	3.42	2.76	12.58	7.06	16.71	0.01	0.34	43.7	25.14	15.72	14.6	37.95	31.42	49.18	80.33	59.78	0.0	1.84	0.01	0.04	0.04	23.28	5.54	16.87	26.25
Ppargc1a	0.0	0.11	0.11	18.56	0.0	17.89	12.04	0.05	0.0	0.06	31.08	47.51	8.57	14.51	38.34	94.04	33.74	7.92	14.59	0.04	0.0	0.0	0.0	41.47	18.77	13.03	29.92
Ptprj	0.31	43.66	4.9	0.0	0.0	4.12	7.02	0.0	0.0	0.08	3.96	7.42	0.14	0.28	11.77	9.4	9.97	25.25	0.0	12.45	0.0	0.05	0.0	1.29	21.45	7.34	7.14
Rbfox3	3.56	8.27	44.71	15.35	15.95	49.66	21.09	2.52	17.77	66.19	37.91	71.53	15.43	68.67	18.74	57.35	41.6	66.78	1.67	14.91	5.28	0.0	1.68	20.85	10.71	37.52	33.29
Scn1b	0.0	0.0	6.03	0.0	0.0	4.09	3.33	2.9	0.21	7.37	3.12	12.48	2.87	4.96	8.3	14.46	7.25	6.04	1.69	0.31	1.03	0.0	0.0	1.95	25.7	8.49	3.09
Tsc22d2	0.0	1.49	3.55	5.16	0.0	7.71	0.21	0.11	0.0	0.29	7.53	40.01	17.62	12.11	1.54	17.23	2.32	8.79	0.0	0.0	0.56	0.0	0.0	22.08	3.61	7.54	10.83
