	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_19	Cux2_tdTpositive_cell_31	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rorb_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_46	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
3110047P20Rik	0.0	0.0	0.0	51.61	0.51	12.19	11.47	39.51	43.68	18.89	14.83	12.5	8.93	0.0	0.0	0.0	0.0	0.01	0.0	0.58	0.02	0.01	22.13	0.0	0.0	17.5	0.0	0.09	11.93	0.0	0.0	0.0	0.0	0.0	0.0	9.02	0.15	0.0	0.0	0.0	5.95	0.0	0.0	2.15	13.12	1.53	0.0	41.74	15.08	3.13	0.0	10.88	25.52	0.0	0.0	0.11	0.0
A830010M20Rik	0.0	0.0	16.82	131.79	221.21	154.31	64.62	31.13	164.42	117.59	294.73	158.23	144.38	0.25	115.65	25.14	8.89	33.89	0.7	0.03	0.04	33.54	0.18	48.56	14.36	22.02	4.08	64.72	51.06	17.99	0.0	14.59	0.15	24.74	17.63	33.11	2.47	76.33	1.1	0.0	18.38	21.4	24.89	44.29	18.49	35.83	19.71	331.73	143.59	161.31	67.64	33.09	10.47	1.46	0.05	25.15	23.57
AI593442	80.59	38.1	33.91	1226.97	816.66	1963.44	1568.93	596.07	1821.34	919.15	1052.14	883.18	822.87	335.01	428.23	9.26	67.92	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	736.76	69.38	98.11	144.98	55.31	68.57	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	1123.66	1108.84	1085.8	906.07	94.22	52.25	14.94	70.92	57.92	20.52
Arc	0.0	0.0	0.0	67.42	11.63	570.55	261.4	122.6	89.09	230.62	143.72	193.16	15.91	0.06	0.0	0.0	0.12	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.18	0.0	0.0	9.64	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	28.07	0.15	0.0	454.01	601.68	40.39	28.29	0.0	0.37	0.19	0.0	0.0	0.0
Arl1	99.03	131.37	103.85	252.4	235.9	249.47	131.04	362.78	183.07	384.64	242.96	71.24	210.33	135.73	180.95	111.3	111.93	23.77	75.71	48.32	232.63	92.04	202.56	108.37	225.44	101.76	183.38	27.79	161.51	110.44	62.36	45.68	141.92	90.58	2.02	57.53	64.29	268.76	58.14	0.32	42.7	178.96	44.14	113.35	72.79	126.91	47.46	250.69	145.35	351.31	55.79	49.72	187.36	76.72	63.45	105.1	148.7
Arpp21	0.0	0.0	0.0	911.97	2279.86	1212.2	1233.2	1417.78	1582.52	1252.4	1954.67	2048.38	1706.32	61.47	0.0	0.06	0.21	0.26	0.2	0.27	0.31	0.11	0.13	0.0	0.09	7.77	0.44	0.12	463.14	2.51	0.0	0.09	0.1	0.0	0.0	0.06	0.0	0.38	0.0	0.76	0.0	0.0	0.09	44.68	1.17	0.43	0.07	1195.83	909.78	1399.33	980.64	0.09	0.0	0.09	0.0	0.58	0.0
Atp2b1	22.87	28.72	43.04	430.16	503.08	622.19	387.9	432.86	544.29	250.61	367.26	425.03	327.98	63.17	92.06	68.72	87.97	71.3	26.12	16.23	0.11	34.49	41.71	3.6	41.83	14.53	18.52	46.09	94.7	14.32	32.81	9.58	15.12	3.98	21.72	36.43	17.57	60.75	7.43	20.14	2.45	13.63	4.97	13.39	35.13	4.98	16.66	119.16	146.35	398.67	587.83	38.78	45.26	16.05	39.84	3.36	1.36
Atp2b2	86.42	76.45	56.69	444.73	728.96	776.04	1414.78	760.83	619.87	460.32	457.72	496.32	396.83	188.91	277.33	45.89	113.86	59.35	43.28	31.62	101.17	20.38	48.19	36.23	34.79	109.68	69.93	28.43	225.32	41.96	56.98	64.83	49.0	77.5	9.22	54.87	39.53	119.87	26.81	90.24	23.5	12.67	16.08	61.18	52.91	60.73	39.05	686.74	374.61	816.24	733.41	147.76	30.78	61.39	39.6	34.82	65.9
Atxn1	11.83	4.58	21.21	38.24	42.81	112.29	71.0	21.75	30.4	71.65	12.93	34.76	22.44	12.26	34.12	5.63	5.46	11.34	0.83	0.49	33.86	9.25	1.67	0.7	23.53	7.34	2.12	4.19	34.01	3.29	9.3	9.13	1.78	17.62	4.07	9.36	3.86	55.29	0.0	0.86	0.0	4.6	3.16	0.0	11.54	0.0	2.64	55.15	28.19	69.17	127.7	7.93	6.96	2.4	2.54	0.26	3.46
Baiap2	0.0	2.67	0.0	168.51	580.95	204.83	362.73	291.43	251.52	405.69	438.76	306.78	547.75	0.0	0.0	26.88	28.99	8.56	0.04	0.11	18.23	16.57	0.65	6.75	0.0	0.0	0.0	45.12	147.6	8.24	0.0	0.0	0.0	8.95	0.0	1.64	0.0	0.09	0.0	17.91	0.27	33.61	0.0	0.0	5.58	1.13	0.0	58.31	388.1	169.64	246.06	0.0	0.0	0.0	0.0	0.1	24.1
