	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_106	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_187	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
0610009D07Rik	9.5	245.05	275.34	331.67	546.43	406.4	57.68	20.62	72.58	34.7	40.87	136.51	95.0
1810022K09Rik	150.52	798.87	261.32	371.85	659.44	669.1	0.76	55.07	90.36	0.0	149.87	203.41	149.66
2310016M24Rik	126.39	468.79	589.35	873.71	439.19	465.55	99.5	64.8	247.24	192.4	214.96	177.59	348.69
9130209A04Rik	8.39	0.53	0.65	1.12	0.48	0.92	4.77	7.37	0.0	0.2	0.22	0.47	0.28
A330035P11Rik	0.0	0.51	0.16	1.1	0.23	0.24	0.1	0.0	0.0	0.0	0.0	0.05	0.09
AI597468	3.32	198.67	597.63	203.64	123.51	85.15	0.99	2.73	37.5	68.44	20.77	55.41	26.05
Aasdhppt	2.81	184.73	18.33	60.57	81.8	72.86	11.31	7.79	25.71	54.77	0.58	100.48	38.04
Acot13	89.46	584.17	315.39	155.57	542.8	188.87	7.99	203.05	92.09	173.19	115.36	298.74	178.73
Atp5c1	208.75	1712.34	1001.33	936.89	1410.81	960.13	378.52	344.66	785.7	733.9	861.22	686.88	1117.46
Atp5e	5.18	1015.49	341.74	564.39	548.08	516.77	5.23	9.65	238.12	236.1	60.85	1094.17	423.96
Atp5h	488.66	2467.96	1668.08	1789.89	1923.35	1856.86	679.93	80.07	511.16	896.17	753.48	1645.74	1066.07
Atp5j2	400.73	1589.28	378.38	1076.51	1053.04	802.46	195.63	520.68	206.82	466.43	642.88	254.56	468.74
Atp5k	857.41	2254.79	1003.33	1043.48	1109.8	718.02	509.07	965.29	227.23	350.38	412.51	853.61	443.9
Atp6v0c	0.0	2360.5	667.03	1382.24	1622.13	1580.41	176.36	576.78	755.05	567.34	521.72	1534.46	1097.43
BC002163	192.23	556.22	607.07	435.14	668.3	365.25	0.0	208.14	138.83	254.41	314.91	87.06	399.96
Clybl	0.0	250.94	154.24	89.07	89.71	95.78	0.0	18.97	64.14	14.18	141.97	5.14	0.88
