	Calb2_tdTpositive_cell_6	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_112	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43
3110047P20Rik	4.94	37.02	22.99	57.78	0.14	0.21	0.0	11.47	0.0	0.52	60.17	4.12	48.6	43.89	51.61	5.77	0.74	34.19	0.0	0.0	0.09	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.39	0.07	7.55	0.0	0.03	14.05	6.45	8.96	0.09	36.77	5.14	1.05	1.25	1.96	0.0	0.0	0.0	0.0	47.0	25.98	54.5	3.13	0.0	17.7	0.34	31.39	29.25	23.88	0.11	0.0	0.07	2.65	2.13	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	33.36	0.0
Acvr1c	67.57	51.67	37.08	9.64	7.48	0.25	39.58	7.04	7.79	46.69	0.74	16.02	18.73	18.75	0.52	24.51	12.42	20.94	25.65	9.4	0.0	0.0	0.0	0.0	6.81	0.0	0.0	0.0	0.34	13.48	0.0	0.03	3.89	0.0	0.07	8.05	0.0	0.0	18.89	10.12	8.72	12.93	5.04	14.89	4.6	0.03	8.14	3.97	85.44	0.0	0.0	87.22	24.8	9.67	31.34	0.0	8.51	26.9	0.0	31.27	26.0	22.04	0.07	0.0	0.65	8.32	0.0	0.0	0.1	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	3.42	0.0	22.18
Akap5	212.34	133.22	337.4	274.44	212.25	109.41	396.9	126.39	155.88	452.46	328.86	326.48	294.32	200.1	113.91	334.7	358.8	359.58	501.47	210.8	179.77	71.89	101.56	105.65	92.4	43.9	90.35	115.15	31.13	63.52	97.46	50.2	27.97	101.82	224.34	25.87	12.66	18.45	244.78	162.56	116.87	64.68	100.25	153.51	141.64	105.71	557.42	24.86	279.85	40.17	53.83	249.21	370.01	325.46	336.88	66.0	183.65	555.69	270.13	168.1	348.61	295.61	338.49	83.14	60.96	91.64	173.99	48.64	115.03	8.35	63.1	32.08	69.79	16.21	42.64	124.3	109.99	119.86	66.73	142.16	152.86	121.26	138.01	92.1	107.91
Alcam	78.28	56.75	73.4	39.91	46.98	51.5	192.77	109.49	50.83	8.75	34.96	50.64	57.43	85.41	104.68	6.8	37.7	18.3	22.59	96.57	95.35	0.25	7.58	0.0	0.07	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.08	0.28	0.13	0.0	5.65	77.51	47.51	38.89	12.31	67.45	12.43	80.05	31.04	87.24	3.87	56.77	1.24	0.0	78.84	49.99	58.74	65.49	0.0	102.62	7.08	101.43	154.17	52.98	74.22	60.38	0.86	0.39	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	42.42	0.0	10.6
Bdnf	78.99	195.43	0.39	210.48	0.0	41.8	57.35	231.07	456.45	1411.41	272.85	36.56	353.16	39.3	155.34	76.08	111.48	171.28	56.22	32.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	104.44	0.2	110.62	18.09	17.47	62.84	99.58	69.1	22.6	41.84	22.38	63.13	39.35	1.09	0.4	367.18	0.15	0.0	1032.29	293.41	102.04	261.22	0.21	66.8	436.75	35.53	601.81	1119.19	153.25	225.43	56.66	7.85	24.03	44.18	0.0	0.0	0.0	0.06	6.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.49	0.0	0.0	0.0	0.0	0.0
Btbd3	36.07	26.7	34.38	133.02	140.15	10.96	0.0	28.18	157.11	65.22	11.92	47.38	13.04	107.42	4.03	168.79	86.9	101.04	144.15	12.16	53.11	0.18	0.0	0.0	0.0	4.18	0.15	0.0	0.04	0.0	0.0	0.0	0.0	0.0	1.29	2.64	3.1	2.83	13.38	8.91	43.15	34.95	25.96	109.85	20.25	46.8	147.59	1.38	102.68	0.0	6.37	122.87	56.07	68.73	79.81	0.0	38.96	15.99	53.3	41.64	89.33	63.91	12.7	5.71	1.94	2.81	0.0	1.6	0.0	0.0	0.05	0.0	17.0	0.06	9.64	0.0	0.0	0.0	0.2	9.5	0.0	0.05	0.0	0.0	0.0
Cacng3	1165.65	446.2	723.4	1687.38	1187.87	1148.49	732.25	331.62	1266.61	1259.17	1377.64	1439.33	1253.63	1474.65	1685.77	1294.3	475.26	536.74	319.15	310.36	668.45	567.13	326.95	680.16	430.77	278.7	234.33	428.54	88.35	155.22	105.7	723.37	205.9	406.4	116.54	636.33	872.2	859.39	215.63	595.53	370.99	425.93	152.76	535.94	357.39	827.17	150.8	284.35	1732.66	134.06	248.0	1260.59	1860.06	962.47	875.53	247.51	1449.12	1285.51	1715.51	1168.83	1678.08	981.35	1092.38	477.12	226.84	327.13	515.39	358.5	174.28	374.35	10.27	199.31	169.68	0.2	153.07	424.24	502.07	105.4	328.35	548.13	125.26	112.81	270.17	386.82	229.74
Calb1	165.22	6.57	838.45	117.42	33.04	62.68	97.54	59.04	0.0	0.79	208.9	128.58	230.98	371.75	130.41	199.18	138.96	100.86	187.33	65.12	119.8	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.48	0.35	0.0	0.09	0.0	96.15	31.4	11.59	69.33	41.22	92.63	43.95	74.03	0.0	0.0	0.0	0.0	2.33	87.41	127.92	176.74	0.0	62.25	31.4	160.82	120.31	134.42	150.98	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calm2	15208.11	20249.89	17572.6	16034.76	17347.27	20813.5	17375.4	20740.74	17910.32	19533.68	15108.94	16208.07	15197.49	15151.09	19081.81	18790.75	17934.64	18187.15	18403.02	19635.16	19628.74	18662.45	17716.09	19578.34	24749.41	16122.09	16961.32	21064.56	17243.9	18026.74	19971.06	20654.99	19749.13	18161.55	19103.2	18291.8	18789.68	18742.78	17145.93	18653.08	18187.15	17763.8	18504.84	17343.84	19736.86	17323.44	18784.2	17284.76	17261.61	16061.24	16465.48	16300.18	17647.75	20660.56	16637.95	19581.9	19276.37	15928.43	17564.01	18006.13	15261.65	16701.31	15901.8	17363.25	18644.66	18004.95	18281.5	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	18704.89	18134.58	18864.48	19735.95	19141.42	19191.1	17911.68	18621.16	17897.54
Camk1g	0.97	1.42	90.26	76.98	183.48	292.35	157.35	183.67	267.5	346.32	105.09	54.3	36.28	169.3	155.84	0.37	161.62	0.0	0.0	0.0	123.9	2.05	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	79.71	0.74	67.3	13.19	8.99	38.91	0.66	209.39	117.89	38.11	85.69	224.98	0.33	247.02	19.85	0.0	165.56	103.77	89.3	142.66	121.49	74.05	52.52	102.64	272.21	360.8	86.55	290.83	48.77	0.97	11.95	0.57	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.41	0.0	0.0	75.69	0.0	0.0	0.0	0.0	0.0
