	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_69	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Gad2_tdTpositive_cell_66	Ndnf_tdTnegative_cell_9	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_183	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg2_tdTpositive_cell_5	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_79	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_39	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_15	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36
1110002B05Rik	0.0	208.96	0.0	0.0	0.0	223.19	0.56	0.0	0.0	0.0	2.39	0.0	0.0	0.0	100.75	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	25.09	0.0	0.0	0.0	0.0	69.41	0.15	5.53	38.33	0.0	0.0	0.0	2.77	0.0	94.29	0.0	7.9	0.96	0.0	0.0	15.32	59.51	0.0	0.0	0.0	0.0	0.0	146.03	0.0	0.0	0.0	97.01	37.6	13.56	17.47	41.57	35.56	26.05	1.67	41.82	34.47	36.13	34.64	115.39	71.87	0.0	38.08	0.0	70.61	0.0	0.18	0.33	136.17	0.0	83.42	7.17	0.0	0.0	0.0
1810074P20Rik	17.37	0.03	0.0	0.0	1.4	112.12	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.05	110.54	0.0	0.0	0.66	24.32	0.08	18.18	72.01	46.67	0.19	0.0	0.91	69.3	69.73	20.04	48.46	0.07	5.25	17.84	0.1	0.0	0.0	11.56	29.55	66.81	33.88	16.38	5.04	93.42	3.22	43.55	0.06	0.0	0.75	0.1	0.0	67.15	0.0	3.37	11.78	0.0	59.2	21.96	31.78	17.76	26.82	21.78	18.91	51.06	21.43	28.4	20.95	23.56	0.09	0.0	31.42	0.0	114.19	16.65	0.0	22.84	0.0	52.68	0.0	28.66	18.65	8.91	34.24	39.25
A130040M12Rik	3.93	22.67	0.0	0.0	0.07	40.96	21.43	46.04	0.0	0.0	1.31	1.61	0.59	48.32	12.5	0.38	0.11	0.23	0.0	0.0	5.21	1.97	10.8	17.7	0.36	0.0	5.15	0.09	2.71	6.95	10.06	1.55	3.94	22.89	4.26	0.0	11.07	2.03	18.51	0.42	0.11	0.21	13.71	2.03	0.89	0.13	30.41	0.0	0.35	18.99	13.72	0.0	2.97	26.71	0.0	7.45	3.9	9.45	14.16	22.37	12.22	3.31	4.51	3.36	6.99	7.84	5.83	5.45	7.17	3.71	16.85	19.14	1.64	14.06	0.0	0.0	7.41	0.0	0.09	7.76	0.0	10.24	10.15
Azin1	28.68	101.29	34.75	19.26	19.36	226.36	0.83	38.26	27.28	137.94	164.56	56.12	61.99	51.19	92.76	99.71	55.11	75.58	68.14	0.0	154.8	35.02	270.62	155.65	32.39	37.37	40.45	38.8	12.81	26.86	5.86	102.79	89.52	96.42	196.95	22.79	67.19	112.05	141.85	74.32	105.5	78.66	63.43	29.48	136.55	70.55	133.19	58.99	196.8	31.29	100.42	12.83	66.17	68.59	45.62	29.11	106.99	98.74	78.52	87.57	104.96	102.62	113.21	67.27	170.16	128.32	133.08	62.27	73.25	28.46	40.87	93.5	5.6	0.12	53.07	0.81	47.54	40.7	111.85	41.48	0.0	88.14	38.99
Calm2	20249.89	17572.6	10551.07	10883.72	18003.48	11435.58	20813.5	20740.74	17688.69	19533.68	18790.75	14269.04	19635.16	19628.74	17716.09	19578.34	10185.42	15749.2	24749.41	13802.61	16122.09	14648.45	16961.32	21064.56	17243.9	19971.06	20654.99	16501.66	19749.13	15401.69	19103.2	14457.45	15094.42	15291.54	17206.61	18789.68	14802.27	15901.74	14038.93	18742.78	16381.97	15098.71	15694.77	19736.86	17700.79	13047.01	13803.27	10240.48	17522.3	15106.93	17284.76	20660.56	19581.9	19276.37	15040.86	17350.63	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15343.8	18644.66	18004.95	16099.57	15686.41	15494.93	13415.77	13580.95	14801.3	19423.54	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	14895.91	14315.19	23557.63	18704.89	19735.95
Cap2	92.73	175.57	0.0	0.0	29.83	218.86	275.73	78.01	21.43	111.71	357.51	34.71	72.13	220.1	94.64	120.99	1.16	195.33	181.63	107.11	294.57	137.29	259.54	254.17	104.07	77.61	99.86	101.09	61.58	170.97	77.96	150.57	149.09	130.39	140.94	84.36	33.83	158.32	88.88	286.26	201.43	110.17	46.81	20.74	99.48	100.88	92.24	2.33	22.77	93.14	124.76	126.3	99.16	323.5	33.56	108.19	134.53	122.09	127.88	134.16	130.09	109.42	190.85	140.39	157.76	162.81	161.64	234.65	183.63	231.29	80.11	324.74	256.82	23.9	42.11	84.51	50.09	88.91	296.82	156.38	17.72	312.32	187.16
Cbfa2t2	1.64	67.28	45.08	66.91	17.17	95.75	27.02	22.87	0.0	103.98	187.95	160.59	63.43	21.44	41.99	121.22	0.07	53.23	82.92	0.23	105.36	17.34	59.53	125.34	75.02	0.05	0.25	0.49	65.8	9.38	101.47	58.68	86.65	113.15	86.24	162.5	23.78	51.8	62.75	80.34	57.93	132.66	174.63	46.8	20.63	37.31	0.0	0.74	0.22	0.69	91.72	193.46	29.22	101.11	38.95	54.09	59.54	139.62	68.1	46.7	72.79	106.4	52.84	54.22	133.11	89.87	100.25	125.25	41.35	68.16	58.24	153.21	1.22	22.33	22.21	0.14	0.05	0.0	88.19	39.2	58.21	115.44	100.11
Cdyl2	0.0	2.1	0.0	0.0	28.14	83.92	0.0	28.33	0.0	0.09	54.43	0.0	10.36	24.06	15.83	59.92	34.55	38.23	0.0	0.0	13.9	7.51	0.0	4.86	22.45	3.33	0.0	0.0	6.22	0.0	21.33	11.38	30.91	28.18	48.72	0.04	22.68	57.51	25.88	19.19	29.59	37.58	50.84	0.1	10.91	0.02	0.0	0.0	0.04	0.0	12.41	0.0	15.41	122.36	0.0	12.72	9.69	31.53	7.78	23.18	18.72	10.74	16.7	5.7	20.29	16.15	15.73	26.6	12.88	0.0	23.82	0.0	0.0	0.0	20.08	0.05	0.0	0.0	0.0	28.41	0.0	0.0	0.15
Ctsb	673.86	611.97	790.32	506.28	446.16	497.98	667.14	1142.69	92.86	427.85	715.97	759.51	655.13	362.53	1000.44	1034.35	282.07	933.32	649.55	427.43	657.1	764.44	919.62	869.01	779.72	671.22	928.57	497.03	783.01	684.28	761.28	877.18	1174.16	962.02	1177.83	673.6	800.14	1349.31	582.76	794.09	855.15	891.43	596.72	329.05	428.45	199.49	384.28	216.26	569.75	16.18	884.24	699.26	593.52	564.01	1088.18	873.03	956.74	961.48	1004.82	897.74	1000.43	989.76	876.54	939.5	1072.28	1045.2	1076.79	635.54	734.71	264.04	730.43	670.83	654.13	409.67	527.58	596.39	345.75	278.04	1092.55	846.84	600.02	817.98	808.33
Dgkb	0.0	214.66	0.0	3.58	127.05	102.2	276.63	86.92	0.0	24.66	510.43	7.86	18.54	7.46	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.25	9.11	29.52	34.91	32.46	66.16	0.11	28.46	20.24	24.23	8.75	0.0	0.0	5.55	2.14	0.0	0.0	4.9	0.0	0.0	0.0	87.26	0.15	65.0	0.1	38.05	6.07	1.26	4.87	4.88	16.27	4.86	7.61	2.4	5.11	4.79	3.41	4.9	10.52	1.76	17.76	0.1	0.0	0.0	0.0	1.18	0.0	0.0	67.62	0.8	0.0	0.0	52.09
