	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_69	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_97	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_34	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_9	Rbp4_tdTpositive_cell_36	Rbp4_tdTpositive_cell_39	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_81	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_117	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg2_tdTpositive_cell_3	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_78	Scnn1a.Tg3_tdTpositive_cell_79	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
1110034G24Rik	100.21	23.82	0.0	0.0	195.16	0.0	0.0	0.0	0.0	80.43	0.0	0.0	0.0	0.0	0.0	0.0	329.38	152.38	0.0	0.0	0.11	52.34	0.0	255.63	16.58	229.5	45.76	0.27	56.37	0.0	112.37	41.2	0.0	171.79	0.0	0.0	44.02	65.95	42.5	37.29	48.01	1.45	0.21	42.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.32	84.55	46.44	24.11	18.13	25.51	34.27	26.69	56.95	59.44	16.98	14.02	50.67	40.52	44.33	41.13	60.34	0.0	1.0	6.17	0.2	121.69	0.0	0.0	0.0	366.12	0.0	0.0	271.32	27.79	161.24	14.96	8.85
1700001L19Rik	59.73	31.52	0.0	258.56	0.0	0.0	0.33	0.0	0.0	4.49	0.0	0.21	145.19	0.0	90.19	0.0	181.22	0.0	115.81	37.04	288.45	46.73	0.0	5.25	64.24	0.22	47.0	0.0	9.31	0.0	0.0	0.0	191.81	0.0	125.08	29.74	1.02	44.02	18.93	41.68	0.0	40.75	28.79	26.58	69.01	0.0	145.45	35.25	0.0	0.0	0.0	42.94	44.26	27.16	71.49	36.25	86.87	61.77	81.07	68.63	38.84	60.47	66.42	54.06	45.23	44.07	50.11	0.0	0.2	0.0	19.41	0.16	0.0	0.48	0.16	5.65	0.0	0.0	82.31	118.46	18.17	0.0	0.26	3.57
B3galt2	81.74	32.88	47.99	94.99	155.01	0.0	59.21	0.0	0.0	0.04	0.0	7.82	58.99	146.87	35.2	308.7	179.85	194.92	258.13	309.21	202.88	68.42	38.65	81.9	86.11	1.68	213.38	0.0	106.08	4.96	121.42	112.8	470.54	56.83	108.85	0.15	221.92	8.87	44.73	61.97	98.97	0.13	78.02	1.46	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.14	96.86	192.08	108.74	105.41	158.83	103.87	95.3	185.99	174.79	100.17	124.23	128.94	180.73	154.71	140.09	85.54	100.29	142.04	59.07	115.09	30.97	32.69	96.71	10.36	123.33	60.62	50.66	112.88	269.28	2.34	0.1	168.57
Bcl11b	0.0	0.1	0.0	0.05	0.06	0.0	0.0	0.09	0.04	0.09	0.0	0.26	25.76	0.41	11.92	0.0	7.06	33.43	16.57	3.58	0.24	36.82	4.16	0.11	3.45	0.43	17.94	0.0	29.36	0.08	29.53	21.32	3.58	0.0	39.82	0.0	55.14	0.0	0.05	2.59	0.0	0.15	32.69	0.0	0.02	0.0	0.0	0.18	0.17	0.0	0.0	0.0	0.0	14.36	9.91	20.33	14.22	11.84	10.74	13.1	13.19	15.53	10.8	5.96	14.6	12.33	9.07	12.64	14.07	3.89	12.19	0.04	0.0	2.36	28.83	19.26	5.96	0.14	2.37	3.43	25.01	25.1	4.23	15.31
Bhlhb9	0.0	88.89	279.1	129.98	0.15	0.0	108.69	0.0	0.12	0.0	0.0	135.87	3.39	0.13	0.0	0.0	391.24	218.49	0.0	55.82	66.64	84.83	11.33	0.0	39.75	50.02	122.83	0.0	49.91	89.26	73.05	121.18	122.74	0.0	14.53	0.12	0.26	0.0	75.38	65.54	65.98	3.67	3.06	60.7	2.79	0.0	0.0	10.22	0.0	0.0	37.61	82.01	183.92	51.35	54.48	58.65	90.95	37.56	40.54	62.83	36.64	23.17	68.42	35.54	62.3	37.14	38.96	62.9	8.75	2.82	2.73	57.35	105.55	0.0	0.0	0.85	0.0	0.94	8.53	0.0	12.39	20.51	64.58	2.92
Calm2	20249.89	17572.6	11435.58	20813.5	20740.74	17688.69	14739.65	14201.56	13944.2	15389.86	19635.16	19628.74	19578.34	10185.42	14391.49	24749.41	13802.61	16122.09	21064.56	17243.9	14459.41	14076.58	19971.06	20654.99	16501.66	19103.2	13839.71	14376.72	13221.09	13956.46	15244.76	12259.86	17206.61	18789.68	15073.22	13221.52	16381.97	17145.93	18653.08	18187.15	15694.77	19736.86	17323.44	17700.79	15711.8	13803.27	9633.09	10423.87	10240.48	12794.02	15106.93	20660.56	19581.9	17350.63	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	16099.57	15686.41	15882.13	15064.78	15494.93	13415.77	12585.6	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	14315.19	23557.63	18864.48	19735.95
Ccar1	124.48	50.17	1.49	104.81	1.24	0.0	32.58	0.0	163.71	155.25	5.79	0.0	0.26	0.0	64.48	0.0	137.31	110.3	26.15	48.82	5.59	188.96	33.1	36.62	17.11	186.87	43.26	2.52	33.04	0.0	31.36	59.25	97.32	155.96	56.73	34.79	27.52	22.42	41.53	67.73	37.38	24.23	87.91	24.39	38.35	10.91	0.0	0.0	0.0	81.12	141.93	0.14	57.83	96.74	68.69	36.86	60.09	32.98	63.77	53.87	57.29	41.19	63.56	53.82	71.01	66.46	55.21	28.52	107.17	7.36	25.78	4.19	105.89	70.29	36.69	17.57	20.61	0.0	89.82	7.39	59.36	4.52	80.45	72.36
Ccpg1	69.88	103.48	9.5	77.87	14.45	104.41	67.97	0.71	0.0	152.23	97.41	2.43	89.63	0.5	150.84	58.27	293.06	1.14	40.07	142.16	155.83	23.45	20.16	124.85	64.77	245.16	93.97	0.0	65.59	179.44	123.21	1.29	237.84	0.0	157.26	117.37	18.33	25.79	8.51	49.71	56.8	58.33	2.18	0.22	13.97	12.88	36.85	194.45	0.0	0.0	18.94	74.3	0.0	28.57	116.61	83.93	114.88	54.91	91.78	57.27	120.85	94.6	75.79	74.44	81.71	67.54	67.1	4.44	60.8	2.15	94.96	0.0	67.14	95.55	19.99	52.6	181.81	225.5	60.65	8.12	66.46	28.37	147.28	59.92
Cox19	59.7	127.54	213.77	1.03	131.09	10.97	119.27	0.0	0.0	0.23	0.0	135.12	277.9	0.0	98.46	0.0	887.28	183.26	3.79	102.99	0.0	174.97	0.0	0.0	418.72	176.42	73.74	10.92	148.28	0.0	136.12	51.79	113.05	0.0	53.33	53.63	90.43	43.22	175.45	141.81	9.99	139.82	50.15	99.82	100.87	566.18	0.0	0.0	1.82	0.0	0.0	167.56	213.05	2.94	43.55	139.7	68.11	163.5	153.98	73.28	105.56	152.42	86.68	116.24	80.26	106.79	109.24	0.0	87.21	0.0	20.95	0.0	148.81	0.0	271.81	193.39	8.67	0.0	0.0	112.05	8.87	0.0	51.19	4.24
Ctsb	673.86	611.97	497.98	667.14	1142.69	92.86	761.4	308.34	138.82	690.67	655.13	362.53	1034.35	282.07	602.49	649.55	427.43	657.1	869.01	779.72	1071.96	1326.38	671.22	928.57	497.03	761.28	425.54	117.49	787.47	508.96	1033.54	1014.66	1177.83	673.6	1191.73	421.35	855.15	383.46	339.55	363.87	596.72	329.05	516.16	428.45	309.41	384.28	56.98	373.74	216.26	477.96	16.18	699.26	593.52	873.03	742.32	956.74	961.48	1004.82	897.74	1000.43	989.76	785.67	876.54	939.5	1072.28	1045.2	1076.79	787.31	1061.8	635.54	734.71	764.29	670.83	654.13	409.67	527.58	637.75	596.39	345.75	278.04	846.84	600.02	1586.56	808.33
