	Chrna2_tdTpositive_cell_13	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_17	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	CAV_LP_Ipsi_tdTpos_cell_8
4932411N23Rik	0.43	1.14	3.63	0.95	5.76	13.61	0.13	1.72	0.34	2.85	1.22	1.12	0.54	1.26	1.0	1.63	0.1
Cplx2	2.45	6.88	137.03	13.03	31.82	100.97	3.28	43.7	1.42	17.38	6.31	7.3	4.43	2.49	1.78	34.3	9.17
Sdc4	0.0	0.19	189.57	389.45	79.3	185.96	0.0	109.8	0.0	120.73	94.72	75.11	0.0	0.0	0.0	0.48	0.0
c9_SSU-rRNA_Hsa	5.27	16.49	21.46	10.04	17.02	34.8	6.82	25.85	6.73	25.15	16.22	15.99	17.01	19.24	13.63	45.04	9.46
mt_AF378830	17273.61	39672.03	52908.5	39259.72	41474.39	55289.36	18956.61	46877.17	21565.67	51765.19	35741.21	38697.02	38916.35	39549.63	36514.83	30625.22	16385.39
mt_AJ409495	1280.63	1993.25	4236.72	3608.1	1493.86	3062.57	1568.29	4138.35	1833.62	3523.31	3443.04	4109.97	1978.26	1257.03	1051.98	4648.61	906.3
mt_AK131577	2957.07	6586.18	11869.87	6129.44	6636.2	12410.34	4132.7	9933.94	4459.76	10889.61	6360.73	6412.84	9572.18	7992.08	5989.85	5861.73	2479.42
mt_AK131578	6529.9	14857.05	16762.8	8513.15	12153.04	21769.91	6920.7	13770.07	8036.1	13856.24	10103.99	12030.5	10380.84	11470.13	8923.7	20767.68	6131.44
mt_AK131579	20829.54	55662.18	73067.83	55281.42	56311.06	94403.3	23323.13	60705.47	29059.41	56120.42	45312.1	46620.23	59803.41	51796.42	44271.34	50260.41	19836.46
mt_AK131587	752.77	1372.69	3019.3	1588.56	1637.67	2697.07	942.9	2155.32	1134.47	2411.97	1628.72	1401.06	1953.11	1363.31	1343.89	1707.02	785.54
mt_AK131588	1297.24	4636.39	5045.18	6506.78	3636.4	8191.88	704.43	3162.45	125.39	2069.56	1369.64	2049.73	5179.24	3048.04	4205.12	5320.98	684.98
mt_AK131591	13.55	263.79	70.36	292.07	248.83	563.74	0.0	52.3	13.36	34.56	20.67	31.08	64.88	23.65	31.31	18.53	17.82
mt_AK131866	4380.48	6005.42	10981.38	7073.32	6720.08	13378.95	5566.19	9529.06	5594.7	8705.53	6476.53	7375.78	10475.6	6973.58	7333.83	6708.39	2782.08
