	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_58	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
0610009B22Rik	335.04	153.77	0.0	0.0	0.0	0.0	0.0	184.1	56.18	44.5	0.0	0.0	299.57	1018.49	0.0	0.0	1.59	119.26	87.66	238.47	273.55	135.77	260.62	192.63	108.47	78.22	136.44	238.17	87.15	248.74	0.0	80.85	77.03	127.15	108.68	196.95	35.32	206.61	102.6	196.73	178.94	26.01	434.72	154.24	227.1	288.16	110.76	54.34	125.65	134.57	140.27	230.36	222.19	356.08	132.05	129.72	51.32	123.87	260.33	66.31	105.01	108.65	147.24	140.73	55.93	68.08	342.81	103.32	292.62	235.06	240.77	179.56	75.87	0.0	59.51	108.04	221.55	38.46	0.0	1.65	0.0	137.74
1700021K19Rik	0.0	0.23	0.0	0.0	0.0	0.0	0.0	31.53	0.0	0.0	0.0	0.0	16.14	0.0	8.65	0.0	0.11	3.99	0.0	0.0	0.0	3.57	0.0	2.13	19.48	0.0	0.0	0.0	0.0	11.86	0.0	2.84	0.0	0.15	0.0	4.1	0.85	1.07	0.0	0.0	1.78	10.97	33.59	0.0	1.31	0.0	3.82	0.0	3.41	0.5	0.0	0.0	10.85	1.04	1.25	19.14	0.58	0.0	15.95	20.67	10.18	0.0	0.46	19.39	14.49	16.12	0.0	1.79	34.95	20.93	27.6	3.62	0.71	0.0	0.65	7.76	20.62	0.4	0.0	0.08	0.0	0.0
Atg13	7.78	0.0	172.79	3.27	0.0	0.0	61.8	0.0	0.0	137.77	0.0	0.0	0.0	0.0	0.0	0.0	0.5	13.2	19.91	1.04	1.46	7.51	29.6	0.0	39.22	14.41	13.51	9.38	46.86	39.43	55.58	17.08	0.0	15.22	46.32	42.77	4.88	0.14	1.5	4.72	0.0	15.12	106.97	3.91	0.0	4.64	33.68	0.84	0.09	24.38	5.54	13.62	28.99	36.24	26.3	52.82	14.64	9.9	129.12	20.8	1.25	65.8	0.0	41.14	11.56	24.93	3.61	0.7	12.76	15.1	2.5	31.22	0.1	0.0	0.35	87.44	22.44	35.86	0.0	0.35	0.0	0.0
Bcat1	0.06	4.08	0.0	0.0	0.0	0.0	64.55	149.0	29.54	0.09	0.0	0.0	133.52	0.0	0.0	0.0	0.08	135.51	120.68	41.42	61.89	123.62	215.47	123.7	226.26	77.19	83.61	66.56	83.07	48.04	88.76	98.75	104.5	76.25	40.01	137.9	139.48	177.2	24.38	203.12	131.33	89.27	229.52	109.68	39.28	111.06	97.85	154.56	145.52	118.0	57.15	117.71	142.99	115.22	111.05	145.22	121.32	71.13	161.5	86.41	121.43	165.23	46.58	66.81	88.13	21.52	64.83	64.82	71.54	154.01	54.09	82.76	156.83	100.8	86.1	144.6	154.55	97.57	0.06	0.22	0.0	210.53
Bola2	526.14	0.0	0.0	0.0	0.0	0.0	328.2	42.52	240.43	0.0	311.24	0.0	207.23	0.0	0.0	0.0	0.0	153.47	95.78	102.95	224.22	262.71	220.68	159.69	305.56	230.95	110.63	120.7	133.33	135.42	126.92	241.43	286.88	318.68	144.85	198.8	190.77	205.09	100.12	144.3	247.24	108.96	445.46	178.6	0.0	306.08	123.62	124.41	211.1	130.89	157.79	176.44	181.72	381.22	193.68	66.27	154.34	332.87	236.08	324.79	176.94	184.42	187.44	284.4	298.23	212.96	299.83	230.13	395.11	102.92	219.4	493.17	50.98	109.28	294.83	508.6	377.8	286.16	0.0	1.44	0.0	0.0
Cacng2	0.0	0.0	0.0	0.0	0.0	0.0	24.33	1.39	5.12	0.0	0.0	0.0	13.06	0.0	0.0	0.0	0.0	7.18	5.1	2.76	8.29	8.15	7.46	9.09	14.98	25.7	14.67	25.5	6.83	9.76	5.12	2.1	4.15	8.78	24.28	8.27	16.4	28.2	1.07	2.73	2.06	6.44	16.08	1.97	4.38	1.55	3.64	6.66	5.52	9.59	7.14	8.03	16.08	7.54	10.22	9.05	9.9	3.4	3.37	31.66	4.5	6.33	35.29	2.02	18.45	11.22	11.14	17.31	6.23	5.0	0.37	23.38	3.74	6.83	12.19	22.9	21.23	3.43	0.0	0.0	0.0	15.85
Cadps	0.0	14.92	0.0	0.0	0.0	0.0	100.73	153.03	138.97	0.0	0.0	0.0	140.38	0.23	0.0	0.0	0.11	100.45	91.66	67.77	70.19	121.24	171.29	167.94	46.51	90.33	116.58	160.28	80.32	141.54	42.86	72.37	103.93	175.21	165.19	117.36	180.24	164.45	23.13	213.13	65.4	109.75	59.74	286.71	77.18	151.85	78.51	144.55	144.15	77.4	98.92	191.45	178.16	195.13	318.16	145.76	195.21	84.3	180.37	221.48	106.17	82.36	235.87	116.96	51.41	100.87	94.6	63.2	133.94	88.82	101.94	116.32	107.84	102.21	117.29	182.27	125.82	129.52	0.06	0.0	0.0	114.32
Camk2g	0.52	80.72	0.0	0.0	0.0	23.5	41.16	27.4	57.86	6.8	0.0	0.0	83.46	278.75	0.0	2.02	313.05	52.79	54.8	30.12	79.67	88.81	4.04	34.53	0.0	50.22	54.41	47.97	70.73	69.54	50.22	90.36	129.95	121.57	172.05	86.92	84.39	198.39	56.26	123.15	36.33	43.08	132.93	63.6	71.47	78.62	82.28	71.41	124.55	122.01	60.25	56.95	45.88	84.46	131.66	109.91	73.7	49.34	155.71	185.18	77.63	90.28	2.41	36.42	27.84	56.52	202.32	17.24	93.07	162.43	23.72	91.45	101.82	18.06	48.01	129.6	63.72	111.28	0.29	27.79	0.0	43.06
Ccl27b	0.0	0.54	0.0	0.0	0.0	0.0	0.0	9.27	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.77	0.0	0.0	0.0	1.08	8.04	0.0	4.51	7.64	1.16	0.0	0.0	0.68	0.0	24.17	0.0	0.0	0.0	0.0	3.31	2.97	0.0	2.97	0.76	5.49	1.43	1.44	0.31	0.0	0.0	10.11	11.61	2.62	1.92	0.0	0.0	4.77	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	1.16	0.26	0.0	0.0	2.37	2.14	0.0	9.34	0.0	0.46	0.0	0.21
Cdkl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.95	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.18	5.64	0.0	0.0	39.47	0.0	6.15	0.0	10.3	8.2	0.26	0.0	0.73	17.82	0.0	7.16	0.61	0.0	11.37	6.61	0.0	3.35	0.47	0.0	0.0	0.32	80.26	0.0	0.0	2.62	2.58	0.0	18.09	0.0	42.57	0.67	0.0	12.07	2.05	48.42	19.23	1.51	0.0	42.71	31.1	29.54	3.44	2.45	0.0	16.56	0.3	0.0	3.68	3.47	4.37	0.0	0.0	8.95	1.23	0.11	0.0	18.56	0.0	0.0	0.0	0.0
