	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_44	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_180	Rbp4_tdTnegative_cell_18	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Alms1	0.0	1.14	0.0	7.49	0.0	3.32	0.0	2.95	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.21	0.06	0.0	0.0	0.0	0.07	0.0	0.35	0.0	0.0	0.06	0.02	0.0	0.02	0.0	0.0	0.0	0.0	17.54	0.0	0.57	0.03	0.0	0.0	0.0	25.58	3.6	0.1	0.12	0.0	0.39	0.28	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.04	0.04	0.03	1.55	0.02	0.61	0.46	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.84	4.1	3.59	4.52
Atl3	0.0	0.0	0.0	0.85	0.0	0.0	2.81	0.19	0.08	1.09	0.0	7.32	21.98	0.0	0.0	0.0	4.56	0.0	0.07	0.12	0.0	0.0	0.0	0.15	7.51	0.0	0.25	0.0	0.0	0.08	0.0	3.7	0.0	0.07	82.05	0.0	20.59	0.0	0.0	0.0	3.16	0.0	1.27	5.28	4.42	22.33	0.44	0.0	0.0	0.0	0.0	12.19	0.0	0.0	1.49	2.93	1.55	4.0	5.08	0.59	0.81	0.0	0.0	5.96	5.07	0.04	0.0	0.0	0.0	0.0	7.41	4.15	22.09	20.46	22.45
Atp11b	0.0	5.22	0.0	5.82	0.11	0.0	0.0	0.64	1.22	3.85	0.0	1.04	18.21	0.0	0.02	21.47	8.46	1.06	0.72	0.0	22.61	0.0	37.71	0.0	0.51	55.4	34.19	21.36	28.05	0.0	2.36	12.72	4.48	21.05	0.0	0.09	0.91	0.0	0.0	0.0	42.3	2.33	6.3	14.3	58.32	45.6	36.8	0.0	0.0	36.05	0.0	20.08	0.13	0.18	14.58	6.53	8.3	3.94	5.15	8.62	8.84	2.17	3.21	2.6	0.28	0.06	0.05	0.06	0.09	1.49	0.05	109.27	60.55	55.57	65.46
B3gat2	0.0	0.0	0.0	6.53	0.0	0.21	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.09	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.88	0.0	5.56	0.14	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.1	1.31	0.43	0.34	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	8.07	9.18
C2cd2	0.09	0.13	0.21	0.33	0.33	0.0	0.16	0.85	0.42	0.23	0.31	0.0	0.32	0.0	0.36	0.08	0.27	0.51	0.01	0.25	0.12	0.51	0.11	0.23	1.08	0.05	0.41	0.08	0.39	0.12	0.23	0.79	0.1	2.77	0.62	0.13	0.71	0.0	0.0	0.2	1.11	0.42	0.56	2.54	1.01	0.79	1.23	0.46	0.89	0.71	16.1	1.84	0.13	0.08	1.92	0.53	0.6	0.62	2.66	0.75	0.38	1.12	0.0	0.33	0.22	0.05	0.07	0.76	0.21	0.28	0.0	0.26	6.44	6.23	5.89
Cbx6	0.0	7.21	2.21	4.41	10.32	0.0	7.44	8.09	0.0	4.29	0.36	3.33	14.39	0.0	0.8	0.93	14.81	1.32	0.0	0.0	12.63	0.0	0.0	0.0	1.44	0.0	5.88	2.0	0.31	0.0	0.0	14.05	0.12	7.4	6.52	0.0	0.87	0.0	0.0	0.0	22.56	0.94	13.94	18.97	18.1	1.94	8.66	0.0	0.0	6.26	0.0	1.08	0.68	0.0	5.97	8.05	10.12	6.91	1.85	5.38	6.7	0.0	2.81	0.0	43.32	0.0	0.0	1.93	0.32	2.93	0.0	0.32	221.26	219.29	227.16
Ccdc137	0.0	1.86	0.0	39.64	0.0	6.8	0.94	3.17	51.96	0.0	0.0	0.0	5.56	38.07	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	7.36	0.0	0.0	0.0	0.0	0.0	0.0	111.77	0.0	0.0	0.0	106.02	0.0	0.99	0.0	63.71	19.1	0.0	0.0	46.25	0.0	1.14	0.0	0.0	0.0	4.54	9.3	15.28	8.51	7.38	7.36	10.22	0.12	0.53	0.0	4.19	23.77	0.0	0.0	0.0	0.0	0.0	0.0	18.66	19.85	18.68
Clcn2	0.0	0.0	0.12	0.0	0.0	0.0	0.14	2.73	0.15	0.1	0.0	2.2	0.0	0.0	0.0	0.03	4.59	0.09	14.51	0.0	14.41	0.0	0.68	0.0	28.4	0.27	0.09	0.07	0.18	0.0	0.0	0.19	0.0	0.0	0.14	0.12	44.32	0.0	0.0	0.0	68.63	11.85	27.18	11.18	27.42	21.68	19.31	0.0	0.17	27.33	0.0	0.0	0.0	0.0	0.0	0.74	6.89	6.24	0.05	3.96	0.95	17.47	11.87	9.53	0.0	0.0	0.13	0.0	0.0	0.0	0.0	25.97	45.55	48.57	47.78
Cpne9	0.13	13.49	0.45	2.38	1.42	0.74	0.24	0.61	1.95	1.28	2.15	1.15	1.33	0.0	0.73	0.22	1.39	0.93	0.23	1.51	1.14	1.72	3.67	0.44	1.93	0.13	0.93	0.56	1.34	0.26	0.95	0.44	0.23	1.22	2.69	0.16	0.3	0.0	2.18	1.92	89.04	0.44	15.91	3.61	10.09	54.96	1.98	0.0	1.29	2.58	2.78	0.97	0.76	1.41	8.39	7.09	13.38	21.66	4.6	2.12	4.22	0.59	0.13	0.75	0.95	0.7	0.27	23.68	0.58	0.81	0.87	2.7	41.51	35.51	40.38
Ddhd1	0.0	5.31	1.08	4.44	0.0	0.13	0.92	5.92	9.48	0.59	0.0	35.75	6.38	0.0	5.17	0.0	8.94	0.2	0.0	2.06	0.0	0.19	0.35	5.71	26.95	27.53	0.03	28.15	0.0	13.09	0.0	26.89	0.0	3.98	0.17	70.69	0.1	0.13	0.0	0.0	57.37	1.44	0.1	0.08	57.05	57.63	0.11	0.0	0.0	0.12	0.37	0.86	0.0	0.0	6.51	5.97	9.41	4.03	0.08	7.0	6.59	13.07	0.35	1.84	0.07	0.0	0.52	7.51	0.0	0.84	58.16	0.05	40.93	39.9	44.79
