	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_100	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Asb13	0.92	0.58	0.0	156.64	91.75	97.19	2.58	164.99	114.19	0.8	30.83	161.33	82.46	0.75	144.51	164.22	1.51	117.3	285.5	132.98	41.81	289.47	179.19	143.11	210.88	20.64	0.33	31.92	88.71	101.91	323.57	62.45	105.99	220.02	180.96	104.03	66.24	79.41	90.35	164.95	268.21	287.36	141.69	33.9	208.97	195.63	153.5	104.64	185.79	42.17	115.67	83.4	74.87	121.56	46.71	122.05	52.68	51.58	18.39	37.0	179.11	2.25	1.62	2.35	0.85	202.62	55.05	2.77
Braf	0.79	64.06	4.15	219.0	194.54	184.8	21.07	53.72	34.3	0.18	75.6	51.86	42.11	42.57	65.73	109.82	68.36	84.08	103.76	115.76	127.16	111.24	110.96	113.19	111.88	115.57	29.9	66.44	88.2	207.84	119.59	50.88	45.51	116.44	99.54	203.88	50.8	21.05	38.35	52.08	45.6	80.62	61.5	19.26	63.89	37.8	52.69	98.22	40.55	63.55	77.8	106.94	36.91	86.37	38.02	52.29	26.75	79.23	36.86	1.44	39.48	0.0	0.04	0.0	0.0	21.34	88.15	2.4
Cntn5	0.0	0.0	0.0	22.87	29.48	16.28	0.0	6.06	7.17	0.16	0.0	4.45	0.0	7.65	1.13	14.14	5.2	67.2	2.95	7.19	18.41	17.38	22.07	39.9	2.15	0.0	11.04	16.41	43.3	91.49	1.13	8.02	2.32	3.92	42.24	33.7	0.0	0.0	0.0	0.16	18.54	5.55	0.0	0.0	11.72	16.95	7.31	66.74	9.81	20.25	6.29	0.0	0.93	4.64	3.45	2.71	7.03	8.95	0.0	1.65	17.63	0.0	0.0	0.0	0.0	0.0	9.96	0.68
Cox15	0.25	53.29	2.52	21.36	1.54	36.6	0.32	26.37	39.65	3.74	40.97	17.1	29.3	24.26	30.46	28.29	28.47	81.15	17.94	41.41	15.78	19.23	37.46	40.79	73.78	29.82	24.14	19.12	12.17	67.91	126.44	21.08	56.47	44.46	29.22	102.73	10.26	0.0	0.0	50.78	88.11	54.92	3.64	11.43	54.1	151.17	39.78	24.37	50.01	22.05	22.9	0.28	9.25	37.57	10.75	4.61	12.58	35.57	42.32	0.88	41.48	0.0	0.0	0.0	15.14	0.17	43.99	1.2
Enpp5	93.55	661.28	431.21	421.73	324.62	331.97	151.66	392.12	532.34	1.71	255.49	489.63	174.88	281.54	420.55	425.56	256.28	277.87	433.98	574.8	339.14	443.16	363.74	347.09	377.08	321.62	363.8	322.32	344.18	491.15	239.57	443.22	316.71	357.27	360.75	503.08	461.45	263.18	244.43	181.35	585.22	492.88	159.96	172.63	697.88	234.12	487.29	632.61	328.76	429.79	569.94	135.96	377.26	642.93	170.2	551.79	373.19	421.31	21.98	345.82	641.16	0.0	0.29	0.0	0.0	151.55	416.57	155.48
Entpd7	0.0	20.79	0.0	44.36	5.44	30.55	1.95	11.73	15.48	0.1	43.1	20.0	5.98	8.93	23.14	94.7	36.06	87.71	44.98	34.53	58.12	36.89	39.19	50.8	84.95	19.31	23.65	27.9	29.95	58.53	85.56	9.32	35.39	52.54	38.77	74.26	22.12	0.27	13.07	8.77	84.0	31.8	15.08	17.19	51.92	87.82	46.25	32.25	51.75	9.16	42.48	20.8	30.96	21.46	8.77	5.7	34.03	40.18	23.98	14.83	38.67	0.0	0.11	0.12	0.0	9.36	36.7	19.7
Gabra1	154.43	630.46	15.85	1705.16	906.2	821.71	0.0	459.81	590.99	1.29	841.0	993.96	805.71	830.95	572.52	798.81	698.71	823.62	941.01	908.99	1083.64	1370.0	774.43	996.64	1291.16	902.47	549.15	640.97	973.14	1552.42	969.69	486.9	492.04	596.26	856.3	1171.17	799.06	568.63	179.95	203.58	901.92	1110.1	399.65	685.22	782.66	589.87	551.67	1099.7	533.85	621.87	630.43	700.15	729.59	959.22	534.78	832.02	896.18	842.44	498.48	466.73	942.94	0.0	0.25	0.0	0.0	359.87	902.71	688.01
Gm11127	11.12	11.47	35.0	149.22	142.77	86.97	18.38	52.52	80.82	4.13	91.06	121.01	12.13	77.61	107.88	82.48	66.46	117.04	127.12	91.7	131.46	99.16	51.55	41.5	62.71	99.18	87.76	47.49	80.66	131.14	81.36	79.58	29.28	41.66	100.02	79.03	29.49	54.64	43.42	31.67	74.51	71.03	45.01	88.83	112.17	109.37	61.53	131.18	81.0	71.62	87.57	47.31	19.55	79.5	28.65	62.15	127.46	52.97	45.08	54.68	57.96	3.25	0.27	6.92	0.77	0.81	49.13	69.44
Kcna1	49.93	47.87	0.0	110.04	129.7	293.95	0.05	74.68	109.21	0.07	218.51	203.62	67.88	155.4	214.98	258.51	191.86	231.33	194.23	255.22	281.96	237.12	198.9	209.54	455.33	33.81	55.56	151.11	167.48	31.55	159.56	126.88	28.07	81.48	229.17	158.39	203.93	138.68	52.06	12.5	254.23	229.92	210.97	28.71	186.92	175.67	169.76	275.53	204.13	173.91	195.32	61.55	145.89	140.07	97.29	124.46	83.12	73.74	78.46	58.77	247.3	0.08	0.08	0.0	0.0	0.01	93.58	67.55
Kcnab1	0.12	87.51	0.0	608.71	377.04	636.35	76.93	319.52	475.12	0.2	388.75	424.77	342.74	312.96	498.33	437.57	338.11	684.16	669.3	724.18	595.28	679.62	382.89	256.7	504.97	132.29	82.71	51.64	447.24	1049.04	416.28	356.8	255.64	550.52	563.57	447.83	251.16	65.79	130.64	134.35	426.89	439.02	439.2	263.62	387.08	570.81	554.35	457.26	356.39	487.23	629.94	94.1	612.93	133.06	229.99	680.63	416.82	138.65	0.46	214.03	490.77	0.0	0.0	0.0	0.0	0.0	356.99	328.13
