	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_73	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_10	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Tac2_tdTpositive_cell_8
2900064A13Rik	0.0	0.0	0.0	81.35	0.0	139.83	296.27	180.73	170.0	0.0	0.58	137.81	116.34	242.18	176.61	242.02	15.6	3.29	165.93	203.99	243.08	119.69	58.75	115.78	277.27	85.59	78.42	224.62	25.58	214.51	31.94	112.04	41.54	94.25	102.13	2.27	194.02	0.0	111.39	226.25	216.7	129.44	2.63	176.57	200.34	240.41	118.19	68.33	40.22	103.82	143.26	141.86	45.9	123.97	87.39	242.41	295.29	62.05	0.0	8.35	0.79	6.84	0.0	49.2	21.96	1.16	1.78	0.0	0.0	0.0	207.31
Arl6ip4	0.0	0.0	0.0	0.0	3.48	82.08	67.47	23.15	37.25	0.0	0.0	97.51	0.0	11.92	40.35	75.76	39.04	54.65	21.23	25.61	0.0	27.68	46.11	34.5	47.57	47.24	48.71	44.12	47.13	10.4	45.21	0.0	8.45	71.06	0.0	33.41	29.8	8.56	74.7	4.54	39.59	77.85	107.17	57.2	119.85	53.87	6.32	18.06	99.36	84.17	34.33	103.1	19.24	47.45	70.51	66.64	196.51	11.12	50.69	97.48	10.12	0.0	34.22	39.39	46.17	0.0	0.32	0.0	0.0	0.0	69.04
Chga	0.0	0.0	0.0	12.93	80.71	132.56	93.02	47.92	70.89	0.0	0.32	44.52	51.52	18.97	55.13	180.19	92.13	55.73	22.57	90.67	135.17	95.85	153.49	276.52	127.7	42.15	178.0	75.79	91.3	109.02	95.45	1.24	46.2	141.5	54.73	207.98	53.24	1.78	6.01	54.0	70.15	56.15	174.53	225.97	99.25	115.47	2.6	137.36	98.17	97.49	111.19	109.14	88.83	214.62	157.47	142.4	82.68	35.0	73.79	100.86	1.63	96.38	22.79	159.21	207.9	0.0	0.4	0.0	0.0	0.0	87.35
Clstn3	0.12	0.0	0.0	347.49	107.76	213.78	319.32	172.31	159.62	0.0	0.3	239.33	173.95	106.51	84.33	176.04	166.07	80.62	116.67	97.23	155.8	132.95	101.25	309.28	187.47	110.81	195.51	96.58	40.41	113.32	237.9	125.24	231.2	175.82	52.37	187.97	81.54	1.23	218.96	90.92	112.7	182.7	312.73	385.44	340.77	296.95	208.92	126.18	159.76	288.04	186.31	242.19	246.98	106.94	201.98	40.29	211.02	95.34	312.36	62.44	45.1	101.4	87.01	204.88	135.44	0.0	0.64	0.0	0.0	0.0	117.66
Crbn	0.0	0.0	0.0	95.97	134.56	215.34	133.68	104.5	95.32	0.0	0.33	144.23	55.79	189.12	39.79	208.62	122.52	56.7	123.99	199.84	96.87	148.17	139.59	166.34	57.2	126.7	94.19	71.68	65.77	115.01	199.18	118.27	23.25	119.16	133.12	61.28	189.91	0.0	134.86	130.51	61.07	127.22	187.89	129.05	141.57	206.7	250.35	157.38	143.31	2.71	203.05	158.81	209.86	193.29	101.63	28.39	33.89	102.74	110.17	79.9	35.8	159.2	315.11	123.88	66.97	0.3	0.82	0.0	0.0	0.0	189.84
Dlgap2	0.0	0.0	0.0	49.63	4.16	35.0	33.03	26.87	21.13	0.0	0.13	14.0	26.48	4.05	5.45	2.71	27.55	20.21	37.68	20.22	58.72	40.39	4.97	4.15	25.18	6.95	6.45	28.32	54.94	25.0	8.62	43.55	6.27	26.3	22.41	23.89	10.09	37.24	17.67	23.56	23.28	36.78	72.65	167.8	42.25	30.56	21.08	47.12	11.62	85.53	99.13	42.08	86.15	20.69	57.1	30.31	87.14	42.39	10.19	12.87	2.27	100.09	10.77	27.83	35.26	0.0	0.0	0.0	0.0	0.0	14.25
Dnajc12	0.0	0.0	0.0	67.67	0.0	222.67	131.13	155.7	137.69	0.0	0.0	71.56	69.59	9.9	187.66	93.86	42.01	0.0	122.63	56.53	34.95	13.65	78.49	52.21	53.95	121.05	113.85	39.66	104.51	106.57	111.48	186.12	123.53	118.95	107.96	70.28	5.66	70.28	182.29	76.15	210.3	45.17	36.26	99.37	107.31	93.01	0.43	61.41	143.4	124.23	154.92	154.54	86.04	178.11	38.17	94.88	107.94	204.5	61.72	145.23	0.0	55.12	74.77	81.6	0.0	0.0	0.99	0.0	0.0	0.0	0.0
Dpp6	0.0	0.0	0.0	154.51	99.2	123.76	52.56	30.99	44.91	0.0	0.0	96.22	17.17	18.69	18.37	92.07	81.1	118.79	90.35	103.69	125.07	60.49	46.67	88.08	113.41	71.26	22.16	65.82	66.76	54.75	17.19	53.69	11.94	95.8	92.56	143.47	68.44	0.0	94.25	36.95	166.36	92.31	240.84	145.3	94.74	64.37	71.66	104.8	73.71	97.58	111.64	122.42	210.95	101.03	32.8	24.14	119.48	42.91	101.45	77.21	79.97	56.98	31.74	65.59	58.24	0.0	0.32	0.0	0.0	0.0	55.73
Edil3	0.0	0.0	0.0	119.32	20.17	113.99	198.97	44.53	34.39	0.0	0.11	10.62	64.32	1.43	28.94	4.85	20.49	6.89	58.66	38.55	54.51	3.54	30.78	27.35	76.29	25.56	45.28	126.72	114.0	99.74	28.95	95.64	11.94	41.25	16.93	86.58	34.88	21.84	49.97	11.56	22.24	38.07	139.31	134.31	327.65	137.2	28.43	85.06	61.82	11.47	143.01	49.8	89.55	17.46	18.35	73.67	0.0	78.53	10.42	18.57	0.09	171.86	24.28	15.51	98.86	0.22	0.48	0.0	0.25	0.11	82.27
Elavl2	0.0	0.12	0.0	37.58	158.55	253.86	186.74	36.92	53.52	0.0	0.0	123.99	123.97	117.01	78.41	101.53	70.08	129.95	153.81	114.51	60.42	75.25	122.41	96.69	90.45	135.99	97.68	148.0	62.94	74.32	72.6	66.15	138.2	68.27	70.77	110.84	128.8	48.31	163.45	72.29	191.66	148.34	181.99	126.85	74.45	175.63	68.92	227.52	139.49	129.48	166.52	136.31	160.18	51.63	97.06	90.93	120.79	73.62	55.08	62.42	38.28	145.85	124.76	68.8	148.59	0.0	0.3	0.0	0.0	0.0	114.76
Fam149b	0.0	0.0	0.0	32.02	0.0	34.11	2.2	0.54	0.39	0.0	0.0	4.43	0.0	0.0	0.54	2.07	0.0	0.0	0.0	44.08	34.5	10.75	0.0	38.73	83.23	6.25	1.56	6.22	16.95	15.59	0.0	2.89	0.0	20.54	0.0	9.97	0.0	4.42	18.28	5.92	52.02	0.29	0.26	0.69	0.0	68.46	22.41	0.4	0.0	15.61	49.54	0.0	21.82	4.97	1.46	0.0	6.71	0.26	1.21	0.0	39.44	96.1	10.56	0.98	21.54	0.0	0.0	0.0	0.36	0.0	54.84
Fbxl5	0.0	0.0	0.0	65.9	4.99	61.1	67.94	53.61	41.53	0.0	0.21	48.95	0.49	0.0	29.77	47.53	89.77	0.0	68.06	69.02	128.89	247.1	180.26	84.87	149.61	54.33	41.26	43.52	6.64	68.59	102.7	4.3	28.01	8.02	15.19	34.52	77.49	0.34	123.11	34.82	49.73	24.84	0.0	87.74	79.5	172.27	100.81	51.79	135.91	8.14	72.25	121.22	3.1	23.62	18.59	66.63	41.67	9.09	103.24	37.85	14.68	160.08	1.42	37.17	142.31	0.0	0.31	0.0	0.0	0.0	76.07
