	Calb2_tdTpositive_cell_10	Calb2_tdTpositive_cell_12	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_28	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_113	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_52	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_43	Ntsr1_tdTnegative_cell_9	Rbp4_tdTpositive_cell_40	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg2_tdTnegative_cell_11	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_47	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_48
6430704M03Rik	72.76	71.43	0.0	0.0	44.49	103.76	136.64	132.03	7.21	10.14	4.5	88.03	114.8	191.48	31.36	87.83	130.99	59.95	28.65	36.69	110.54	83.74	0.33	6.09	172.29	161.17	42.63	86.5	194.39	127.16	29.67	12.09	32.7	3.04	0.0	0.0	0.0	0.0	0.1	4.1	64.89	0.23	0.0	48.2	83.87	133.92	0.0	80.87	27.56	8.29	8.15	70.68	119.27	57.01	4.76	1.52	11.02	85.89	140.18	63.4	123.15	167.74	0.0	3.8	0.0
Amy2a2	0.11	0.21	0.0	0.0	0.37	0.58	0.32	0.43	0.43	0.32	0.24	1.31	0.2	0.15	0.13	0.16	0.24	0.06	0.29	0.11	0.06	0.1	0.15	0.61	0.62	0.13	0.12	0.1	0.02	0.13	0.03	0.54	0.5	0.0	0.0	0.04	0.0	0.06	0.37	0.21	1.53	0.33	0.01	0.67	0.12	0.06	0.44	0.24	0.24	1.28	0.22	0.2	0.15	0.44	0.4	0.06	0.07	0.18	0.12	0.16	0.05	0.22	0.0	0.08	0.0
Amy2a3	0.11	0.21	0.0	0.0	0.37	0.58	0.32	0.43	0.43	0.32	0.24	1.31	0.2	0.15	0.13	0.16	0.24	0.06	0.29	0.11	0.06	0.1	0.15	0.61	0.62	0.13	0.12	0.1	0.02	0.13	0.03	0.54	0.5	0.0	0.0	0.04	0.0	0.06	0.37	0.21	1.53	0.33	0.01	0.67	0.12	0.06	0.44	0.24	0.24	1.28	0.22	0.2	0.15	0.44	0.4	0.06	0.07	0.18	0.12	0.16	0.05	0.22	0.0	0.08	0.0
Amy2a4	0.11	0.21	0.0	0.0	0.37	0.58	0.32	0.43	0.43	0.32	0.24	1.31	0.2	0.15	0.13	0.16	0.24	0.06	0.29	0.11	0.06	0.1	0.15	0.61	0.62	0.13	0.12	0.1	0.02	0.13	0.03	0.54	0.5	0.0	0.0	0.04	0.0	0.06	0.37	0.21	1.53	0.33	0.01	0.67	0.12	0.06	0.44	0.24	0.24	1.28	0.22	0.2	0.15	0.44	0.4	0.06	0.07	0.18	0.12	0.16	0.05	0.22	0.0	0.08	0.0
Arhgef25	43.42	0.35	0.0	0.0	1.72	0.47	86.62	0.07	0.41	0.0	13.95	0.0	3.15	4.01	0.0	0.56	0.0	3.53	0.0	8.13	88.23	35.27	52.82	0.06	47.73	4.98	9.75	0.56	0.03	22.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.37	0.0	0.0	0.0	1.42	4.98	0.0	2.87	0.0	70.49	0.0	12.74	29.04	60.51	0.0	0.0	0.0	16.76	56.85	0.0	0.0	0.0	0.0
Asphd2	31.91	25.92	0.0	0.0	29.11	139.63	0.21	0.09	16.52	260.44	9.3	0.0	0.0	0.0	178.32	0.0	111.64	0.0	39.6	0.0	0.0	9.21	1.58	203.6	0.0	74.75	162.02	126.16	77.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.25	34.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.37	111.31	0.0	54.74	0.0	0.0	0.0	0.0	0.0	1.5	0.0	28.0	0.0	0.0	0.0	0.0	0.0
Atp1a1	32.1	55.85	0.0	0.0	32.24	88.79	114.8	61.0	82.26	87.1	41.76	98.34	153.61	6.57	61.13	78.05	48.61	2.24	106.54	119.28	110.68	11.91	24.88	61.68	159.44	97.64	51.95	35.4	5.31	14.74	8.42	39.26	0.0	0.0	0.0	6.3	0.0	0.0	7.73	40.24	0.0	5.78	0.22	33.35	9.99	23.49	2.0	24.12	70.61	55.17	56.1	31.53	37.79	56.5	42.85	71.28	77.93	8.18	21.79	10.82	3.31	0.0	0.0	0.0	0.0
Bsn	1.76	24.14	0.0	0.04	22.17	24.78	92.0	35.85	0.22	12.4	33.97	49.79	64.46	26.08	6.47	21.43	2.48	0.59	1.21	29.38	41.59	13.16	31.75	22.2	45.56	18.28	28.82	48.92	2.32	39.22	12.07	4.6	0.94	0.07	0.02	0.0	0.06	0.04	22.59	37.82	26.86	10.37	0.45	21.52	27.03	22.75	53.85	19.34	1.59	31.49	17.87	13.78	16.39	30.82	35.95	14.02	32.14	28.04	1.58	20.64	7.58	5.42	0.05	42.28	21.07
C030046I01Rik	237.08	317.58	0.35	53.54	80.97	213.9	569.46	309.95	500.67	108.54	128.4	216.23	304.22	49.74	86.78	155.03	183.44	139.33	309.42	249.66	226.93	56.54	222.89	127.68	244.97	210.49	99.23	512.67	149.7	408.97	163.61	76.97	24.07	0.24	0.19	1.04	2.33	42.88	101.77	72.39	202.46	191.06	3.47	57.54	171.78	138.93	247.25	76.47	167.54	178.34	158.17	128.12	151.33	285.58	91.61	155.07	209.01	154.32	96.36	206.6	193.42	14.8	37.88	16.77	1.32
C730002L08Rik	52.31	91.78	0.0	0.0	0.6	200.77	287.41	50.62	72.24	177.9	125.62	115.69	275.87	87.79	0.0	209.41	237.69	66.57	111.2	0.0	121.75	48.1	104.06	24.12	137.52	0.1	111.23	197.15	0.06	234.26	18.31	88.3	0.0	0.0	0.0	0.0	0.0	0.0	118.5	70.69	0.0	280.03	0.0	79.69	0.0	0.0	0.0	208.09	62.27	0.0	142.73	122.69	245.79	93.92	97.6	39.86	0.0	32.87	46.14	57.47	0.0	0.0	0.0	0.0	0.0
