	Calb2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_12	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_77	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_1	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_20	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_14	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_23	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Timm17b	3.29	1.54	1.29	3.17	5.05	2.38	4.14	5.61	66.54	6.48	4.42	1.01	0.23	3.19	0.0	2.85	3.73	1.7	0.89	15.91	1.11	2.1	157.64	5.05	2.24	3.35	2.18	1.29	0.37	3.18	8.2	11.55	1.28	0.54	7.37	3.3	237.72	7.29	23.6	0.84	8.25	794.23	24.08	2.5	51.4	10.62	5.3	1.09	21.04	2.62	0.62	4.23	7.33	208.86	4.96	5.32	10.02	4.16	411.95	6.61	3.23	5.62	5.84	2.77	8.05	0.43	4.33	5.21	503.48	5.03	16.98	0.83	1.94	1.4	2.02	0.64	4.99	58.53	2.71	37.25	14.16	36.84	32.83	17.12	33.24	53.41	48.52	30.62	30.15	37.31	26.26	21.27	18.66	17.75
Tmem163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91	0.0	0.0	350.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.21	0.0	12.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.0	0.0	119.36	0.0	0.0	0.0	24.19	0.0	11.23	0.0	0.0	173.06	0.0	8.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	123.85	622.11	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.0	5.09	0.0	0.0	0.0	3.5	9.07	0.0	0.0	0.0	0.68	0.97	0.0	14.01	17.16	17.46
Tmtc1	0.0	0.0	0.08	0.0	0.0	0.0	0.08	0.14	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.24	0.13	0.0	0.0	0.0	0.19	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.05	0.08	0.0	0.12	0.02	0.0	0.0	0.07	0.13	16.08	1.1	2.02	0.12	0.04	0.0	7.62	0.01	0.0	0.0	0.0	0.1	0.0	0.0	0.14	0.09	0.3	0.07	0.36	0.08	0.0	0.0	0.09	0.0	0.0	0.0	0.24	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	4.44	2.2	1.5	7.06	1.08	0.11	0.09	6.38	6.38	3.11	2.13	0.45	37.73	36.63	37.51
Tpd52l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	994.07	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.05	0.0	32.26	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	46.98	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	1310.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	59.52	73.35	81.05	74.06	28.46	41.79	22.19	29.77	40.36	42.62	55.38	0.11	33.34	36.0	31.77
Trerf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.65	0.0	1.5	0.0	0.0	0.0	0.0	0.0	7.38	0.05	8.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.08	0.0	0.0	20.26	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	118.33	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.26	1.41	5.38	2.32	3.64	1.77	3.98	3.4	1.5	1.13	2.35	0.27	22.57	21.09	25.93
Trim56	0.0	0.09	0.0	1.1	0.63	0.0	0.56	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	1.63	9.64	0.0	0.32	0.0	0.0	0.0	0.0	0.16	0.0	0.22	0.0	0.0	1.34	5.33	0.0	0.34	1.49	0.0	0.0	0.0	10.96	6.36	0.83	0.0	0.44	9.31	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.9	2.27	2.97	0.0	0.0	1.72	15.29	2.29	0.21	0.0	0.0	0.0	0.0	0.42	1.83	23.36	0.0	8.79	6.65	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.22	1.78	0.45	0.15	0.29	0.33	0.27	0.96	0.24	0.28	0.19	0.93	3.55	3.52	4.14
Tsc22d2	0.0	0.0	0.0	0.0	0.0	135.13	0.0	0.0	32.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.85	0.0	0.0	0.61	50.22	0.0	0.0	0.0	0.0	0.0	0.0	54.53	0.0	0.0	0.0	39.67	21.12	0.09	0.0	34.17	0.0	0.0	12.04	0.0	0.0	0.0	8.01	61.7	15.06	4.96	0.0	0.03	0.0	0.0	0.0	0.0	0.07	2.51	0.0	0.1	0.08	0.0	0.0	153.2	197.8	0.0	0.03	0.1	0.0	1.64	0.17	0.0	401.84	0.0	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	5.46	3.79	5.71	8.4	12.81	11.21	15.01	3.59	7.42	6.91	9.18	6.69	12.53	11.57	11.14
Ubxn7	0.0	0.04	0.03	0.0	8.89	0.0	0.0	0.0	14.6	0.0	0.03	51.1	0.0	0.0	0.0	0.0	0.0	0.0	2.02	50.36	0.0	0.0	0.22	0.15	0.0	0.0	0.0	5.19	61.8	39.67	0.0	0.0	14.66	0.11	0.06	0.05	0.05	0.0	65.96	2.97	0.06	0.0	7.52	28.15	1.63	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.38	66.58	0.02	0.45	0.39	0.0	0.07	0.0	0.0	10.21	0.0	0.0	6.51	0.0	0.0	0.0	256.19	0.0	0.0	0.11	0.0	0.05	2.46	0.0	0.0	0.0	26.42	10.49	7.2	5.94	9.68	10.12	6.75	6.62	2.07	2.59	5.29	3.01	0.02	13.44	11.66	12.68
Unc13a	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.04	6.94	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	3.87	1.94	16.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.18	2.2	0.0	0.17	0.0	0.0	0.0	0.04	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.61	7.78	8.82	15.37	8.33	7.02	9.95	14.04	5.16	14.56	13.86	12.99	24.55	173.28	162.24	184.32
Upf3b	0.0	0.0	0.0	194.6	0.0	0.0	0.0	29.3	64.93	0.0	0.0	0.0	1.52	0.0	458.45	0.0	0.0	0.17	1.67	0.09	80.09	0.0	0.0	0.38	0.0	179.28	0.45	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	13.44	0.0	0.0	42.14	11.0	66.26	0.0	0.0	140.58	0.0	0.0	0.0	339.26	0.0	64.22	0.0	116.78	0.17	0.0	63.46	290.4	0.0	0.0	0.0	0.0	0.0	9.34	0.0	0.44	853.04	14.55	461.05	0.0	0.0	0.0	0.0	222.32	0.0	0.0	152.35	45.51	64.33	24.61	52.46	21.27	43.29	39.14	68.82	38.66	41.59	35.58	5.83	22.76	19.61	21.02
