	"OMIM:100070"	"OMIM:180700"	"OMIM:268310"	"OMIM:616331"	"OMIM:616894"	"Orphanet:1507"	"Orphanet:3107"
"HP:0001249"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"HP:0000316"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000256"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002007"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0011800"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000028"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000347"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000494"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"HP:0001263"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0005280"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0000023"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"HP:0000463"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003196"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000126"	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"HP:0000343"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000369"	0.0	1.0	1.0	0.0	1.0	0.0	1.0
"HP:0000431"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0000470"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0002650"	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0000202"	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000767"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"HP:0001629"	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0000365"	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0000286"	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0004279"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0000527"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0001537"	0.0	1.0	1.0	1.0	0.0	1.0	1.0
"HP:0000278"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0002808"	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0000520"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000358"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0000582"	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0000059"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0000212"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002714"	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0000592"	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0001052"	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"HP:0000902"	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"HP:0000060"	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"HP:0000637"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"HP:0010297"	0.0	1.0	1.0	0.0	0.0	1.0	1.0
