	"OMIM:122430"	"OMIM:122450"	"OMIM:136800"	"OMIM:149730"	"OMIM:251750"	"OMIM:276600"	"OMIM:614688"	"Orphanet:137599"	"Orphanet:67043"	"Orphanet:94058"
"HP:0012155"	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
"HP:0012039"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0012040"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0100583"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0012633"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0012636"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0007765"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0007812"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0011497"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:3000032"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
