	"OMIM:300087"	"Orphanet:59305"	"Orphanet:98880"	"Orphanet:99925"	"Orphanet:99927"	"Orphanet:99928"
"HP:0000789"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001342"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000141"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001903"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001386"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000225"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000421"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002733"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002916"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0005268"	1.0	1.0	1.0	0.0	1.0	1.0
"HP:0000836"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0100602"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002017"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0100608"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0400008"	0.0	1.0	1.0	1.0	1.0	0.0
"HP:0100878"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0011434"	0.0	0.0	0.0	0.0	0.0	1.0
