	"Orphanet:168558"	"Orphanet:289548"	"Orphanet:90791"	"Orphanet:90794"	"Orphanet:90795"	"Orphanet:95699"
"HP:0000858"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000718"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001513"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000859"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0003351"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001297"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0003124"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0008256"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002900"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000040"	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0030348"	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0003115"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002805"	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0000063"	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0008669"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0008239"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0008689"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0010458"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0011749"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0004361"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0012856"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001197"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0011105"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0040085"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0011363"	0.0	0.0	0.0	1.0	1.0	0.0
