	"OMIM:241530"	"OMIM:277440"	"OMIM:300009"	"OMIM:300554"	"OMIM:600081"	"Orphanet:1652"
"HP:0001252"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0004322"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0001419"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0003812"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0001256"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000518"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000121"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0000790"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002027"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002749"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0003236"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000787"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0012622"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0003355"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0011342"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003076"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000097"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002907"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002150"	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0003109"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000092"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0005576"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000117"	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0000114"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0003126"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0005574"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003149"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0008732"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003029"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003152"	1.0	1.0	1.0	1.0	0.0	1.0
