	"OMIM:154230"	"OMIM:613080"	"OMIM:613762"	"OMIM:616067"	"OMIM:616425"
"HP:0000007"	0.0	1.0	0.0	0.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0
"HP:0001007"	0.0	0.0	1.0	0.0	0.0
"HP:0002215"	0.0	0.0	1.0	0.0	0.0
"HP:0000054"	0.0	0.0	0.0	0.0	1.0
"HP:0012245"	1.0	1.0	1.0	1.0	1.0
"HP:0100621"	0.0	0.0	1.0	0.0	1.0
"HP:0000041"	0.0	0.0	1.0	0.0	0.0
"HP:0000150"	0.0	0.0	1.0	0.0	1.0
"HP:0000729"	0.0	0.0	0.0	1.0	0.0
"HP:0008734"	0.0	0.0	0.0	0.0	1.0
"HP:0008665"	0.0	0.0	1.0	0.0	0.0
"HP:0008232"	0.0	1.0	0.0	0.0	0.0
"HP:0000062"	0.0	0.0	0.0	1.0	1.0
"HP:0000063"	0.0	0.0	0.0	1.0	0.0
