	"Orphanet:319213"	"Orphanet:319218"	"Orphanet:341"	"Orphanet:99745"	"Orphanet:99748"	"Orphanet:99824"	"Orphanet:99826"	"Orphanet:99827"	"Orphanet:99828"
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000952"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0002315"	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002014"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0002829"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0012378"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0000093"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000790"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000083"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001342"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000988"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0000989"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001873"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0002239"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0002027"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0001945"	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002091"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000978"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002094"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002910"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0003326"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0000225"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0001254"	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0000421"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0100749"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
"HP:0003075"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001824"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002615"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001733"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001397"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001882"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0000967"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0001695"	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001541"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0012735"	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0000554"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0006543"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
"HP:0006554"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0100776"	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
"HP:0002017"	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0012733"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0100608"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0400008"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0011896"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
