	"OMIM:130700"	"OMIM:606963"	"Orphanet:1221"	"Orphanet:1928"	"Orphanet:3225"	"Orphanet:482"
"HP:0000407"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000179"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001880"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003212"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002098"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002860"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002097"	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0004469"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002902"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002729"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0010978"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0010286"	0.0	0.0	1.0	0.0	1.0	1.0
