	"OMIM:100070"	"Orphanet:100076"	"Orphanet:100077"	"Orphanet:100078"
"HP:0000126"	0.0	1.0	1.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0
"HP:0001642"	0.0	1.0	1.0	1.0
"HP:0000845"	0.0	1.0	0.0	0.0
"HP:0000969"	0.0	1.0	1.0	1.0
"HP:0001891"	0.0	1.0	1.0	1.0
"HP:0006723"	0.0	1.0	0.0	0.0
"HP:0001962"	0.0	1.0	1.0	1.0
"HP:0002018"	0.0	1.0	1.0	1.0
"HP:0002910"	0.0	1.0	1.0	1.0
"HP:0002044"	0.0	1.0	1.0	1.0
"HP:0012197"	0.0	1.0	0.0	0.0
"HP:0030404"	0.0	1.0	0.0	0.0
"HP:0001899"	0.0	1.0	0.0	0.0
"HP:0010446"	0.0	1.0	1.0	1.0
"HP:0012432"	0.0	0.0	1.0	1.0
"HP:0002615"	0.0	1.0	1.0	1.0
"HP:0002249"	0.0	1.0	0.0	0.0
"HP:0003148"	0.0	1.0	1.0	1.0
"HP:0006722"	0.0	0.0	1.0	1.0
"HP:0001399"	0.0	1.0	1.0	1.0
"HP:0001708"	0.0	1.0	1.0	1.0
"HP:0002248"	0.0	1.0	0.0	0.0
"HP:0002668"	0.0	1.0	0.0	0.0
"HP:0003154"	0.0	1.0	0.0	0.0
"HP:0003144"	0.0	0.0	1.0	1.0
"HP:0006575"	0.0	1.0	0.0	0.0
"HP:0002716"	0.0	1.0	1.0	1.0
"HP:0002572"	0.0	1.0	1.0	1.0
"HP:0002254"	0.0	1.0	1.0	1.0
"HP:0002574"	0.0	1.0	1.0	1.0
"HP:0005249"	0.0	1.0	1.0	1.0
"HP:0025324"	0.0	0.0	1.0	1.0
"HP:0001005"	0.0	1.0	1.0	1.0
"HP:0002109"	0.0	1.0	1.0	1.0
"HP:0012334"	0.0	1.0	1.0	1.0
"HP:0030149"	0.0	1.0	1.0	1.0
"HP:0100819"	0.0	1.0	1.0	1.0
"HP:0030142"	0.0	0.0	1.0	1.0
