	"OMIM:114000"	"OMIM:162800"	"OMIM:601887"	"OMIM:607115"	"OMIM:614674"	"Orphanet:1310"
"HP:0008872"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002007"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000708"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000324"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002650"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0004490"	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0000153"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0001510"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0008221"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001945"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002076"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000520"	0.0	0.0	0.0	1.0	0.0	1.0
"HP:0002982"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0005731"	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0006465"	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0010702"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000408"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0005791"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002093"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0040289"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0100658"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0200067"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0100963"	0.0	0.0	0.0	0.0	0.0	1.0
