	"OMIM:115310"	"OMIM:118350"	"OMIM:168000"	"OMIM:601650"	"OMIM:605373"	"Orphanet:1359"	"Orphanet:91351"
"HP:0000740"	1.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0002331"	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"HP:0002640"	1.0	0.0	1.0	0.0	1.0	1.0	0.0
"HP:0003001"	1.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0006737"	1.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0006748"	1.0	0.0	1.0	0.0	1.0	1.0	0.0
"HP:0008629"	1.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0030074"	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0001686"	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0003334"	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0006715"	0.0	0.0	1.0	1.0	0.0	0.0	0.0
