	"OMIM:219750"	"OMIM:278700"	"OMIM:278720"	"OMIM:278730"	"OMIM:278740"	"OMIM:278750"	"OMIM:278800"
"HP:0000252"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0001249"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0000407"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000568"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001251"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0003510"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001272"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001265"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0000509"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0000958"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000992"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0004334"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000613"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001010"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0001266"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0001268"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0001257"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0002671"	0.0	0.0	1.0	0.0	1.0	1.0	0.0
"HP:0001284"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0011463"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0000491"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0006739"	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0001097"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0012056"	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"HP:0002542"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0011496"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000656"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001029"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001009"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003079"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0007603"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002861"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000621"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0008639"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
