	"Orphanet:168558"	"Orphanet:289548"	"Orphanet:90791"	"Orphanet:90794"	"Orphanet:90795"	"Orphanet:95699"
"HP:0000098"	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0005616"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0001061"	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0000822"	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0001007"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0000840"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0000048"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0008726"	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0002616"	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0000855"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0000833"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0007440"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0012412"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0008675"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0000061"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0008258"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0008072"	0.0	0.0	0.0	1.0	0.0	1.0
"HP:0000868"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0008226"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000051"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0004924"	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0000140"	0.0	0.0	1.0	0.0	1.0	1.0
"HP:0012244"	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0012041"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0030258"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0012881"	0.0	0.0	1.0	0.0	1.0	1.0
"HP:0011742"	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0030014"	0.0	0.0	0.0	1.0	1.0	1.0
