	"OMIM:214100"	"OMIM:214110"	"OMIM:235255"	"OMIM:614866"	"Orphanet:1655"	"Orphanet:2856"	"Orphanet:912"
"HP:0001250"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0008872"	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000316"	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0000256"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000272"	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0000639"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000028"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000347"	1.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0000311"	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001508"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0000407"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000218"	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0000047"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000126"	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0000431"	0.0	0.0	1.0	0.0	0.0	0.0	1.0
"HP:0001004"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0002240"	1.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0001290"	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0001629"	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0002126"	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000952"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0012368"	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000348"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0000286"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0001744"	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0000518"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0005469"	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0000501"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000520"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0000582"	1.0	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0010655"	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0001522"	0.0	0.0	1.0	0.0	0.0	0.0	1.0
"HP:0005989"	1.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0008665"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0001433"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0001399"	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0000474"	0.0	0.0	1.0	0.0	0.0	0.0	1.0
"HP:0001088"	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"HP:0004734"	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0008229"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
