	"OMIM:157300"	"OMIM:607498"	"OMIM:607501"	"OMIM:607508"	"OMIM:607516"	"OMIM:610208"	"OMIM:610209"	"OMIM:611706"
"HP:0001417"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002315"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000613"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001269"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001347"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002013"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002018"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002301"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002083"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0002183"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
