	"OMIM:100070"	"Orphanet:263455"	"Orphanet:276556"	"Orphanet:276575"	"Orphanet:276580"	"Orphanet:276608"	"Orphanet:324575"
"HP:0000252"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0001249"	0.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0001250"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001319"	0.0	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0002240"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002315"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001520"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0002014"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0012378"	0.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0000093"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001337"	0.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0000980"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002013"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0003155"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000975"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001649"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003324"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002910"	0.0	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0000713"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001998"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0001254"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003076"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001259"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002329"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0008163"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0004912"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002344"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003162"	0.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0004510"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001994"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001985"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0006568"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000825"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0005979"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0004324"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0012051"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0012658"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0004359"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0008240"	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0100503"	0.0	0.0	1.0	1.0	1.0	0.0	0.0
