	"OMIM:254200"	"Orphanet:1267"	"Orphanet:178475"	"Orphanet:178478"	"Orphanet:178481"	"Orphanet:178487"	"Orphanet:228371"	"Orphanet:230800"	"Orphanet:254504"	"Orphanet:254509"
"HP:0001252"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001620"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002015"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0002019"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0002307"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000508"	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002360"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000217"	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
"HP:0000389"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000822"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002014"	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
"HP:0001260"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0001324"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002607"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002027"	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0011675"	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001945"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000651"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0000298"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002094"	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0006824"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001284"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001278"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001522"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001097"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002093"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002902"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002615"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002747"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0001695"	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002039"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000016"	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
"HP:0003470"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0006543"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0100021"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0006597"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0011499"	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0002017"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
"HP:0010547"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000600"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
