	"OMIM:100070"	"OMIM:158350"	"OMIM:615108"	"OMIM:615109"
"HP:0001249"	0.0	0.0	1.0	1.0
"HP:0001250"	0.0	1.0	1.0	1.0
"HP:0000347"	0.0	1.0	1.0	1.0
"HP:0000160"	0.0	1.0	1.0	1.0
"HP:0000218"	0.0	1.0	1.0	1.0
"HP:0002650"	0.0	1.0	1.0	1.0
"HP:0000327"	0.0	1.0	1.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0
"HP:0000767"	0.0	1.0	1.0	1.0
"HP:0000365"	0.0	1.0	1.0	1.0
"HP:0002858"	0.0	1.0	1.0	1.0
"HP:0003002"	0.0	1.0	1.0	1.0
"HP:0200016"	0.0	1.0	0.0	0.0
"HP:0001256"	0.0	1.0	1.0	1.0
"HP:0000518"	0.0	1.0	1.0	1.0
"HP:0000821"	0.0	1.0	1.0	1.0
"HP:0000972"	0.0	1.0	1.0	1.0
"HP:0000545"	0.0	1.0	1.0	1.0
"HP:0003581"	0.0	1.0	1.0	1.0
"HP:0002808"	0.0	1.0	1.0	1.0
"HP:0001626"	0.0	0.0	1.0	1.0
"HP:0010609"	0.0	1.0	1.0	1.0
"HP:0006740"	0.0	1.0	1.0	1.0
"HP:0000853"	0.0	1.0	1.0	1.0
"HP:0002080"	0.0	1.0	1.0	1.0
"HP:0001031"	0.0	1.0	1.0	1.0
"HP:0012871"	0.0	1.0	1.0	1.0
"HP:0000221"	0.0	1.0	1.0	1.0
"HP:0000034"	0.0	1.0	1.0	1.0
"HP:0000771"	0.0	1.0	1.0	1.0
"HP:0000836"	0.0	1.0	1.0	1.0
"HP:0004390"	0.0	1.0	1.0	1.0
"HP:0002253"	0.0	1.0	1.0	1.0
"HP:0000138"	0.0	1.0	1.0	1.0
"HP:0000854"	0.0	1.0	1.0	1.0
"HP:0001102"	0.0	1.0	1.0	1.0
"HP:0002597"	0.0	1.0	0.0	0.0
"HP:0004481"	0.0	1.0	1.0	1.0
"HP:0010619"	0.0	1.0	1.0	1.0
"HP:0100646"	0.0	1.0	1.0	1.0
