	"OMIM:214100"	"OMIM:214110"	"OMIM:235255"	"OMIM:614866"	"Orphanet:1655"	"Orphanet:912"
"HP:0002901"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0011800"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000494"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000219"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000023"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000470"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0002119"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000148"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001162"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000455"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000319"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0003270"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000774"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000054"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0001561"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0003075"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0006521"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000998"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0001541"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0002243"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000130"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001090"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0006273"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0009085"	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0011027"	0.0	0.0	0.0	0.0	1.0	0.0
