	"OMIM:100070"	"Orphanet:168558"	"Orphanet:289548"	"Orphanet:90790"	"Orphanet:90791"	"Orphanet:90794"	"Orphanet:90795"	"Orphanet:95699"
"HP:0000028"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0001508"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001274"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002750"	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
"HP:0000939"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0012605"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0001622"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002013"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0012245"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0001998"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0000144"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000823"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0000151"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000037"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0000771"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0002153"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0001944"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002902"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0011968"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0002615"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0008734"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0000835"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0008163"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0008665"	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0007574"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000127"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0008232"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0011969"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0004319"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0000848"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0000033"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0008073"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003154"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001941"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0003107"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0010789"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0008187"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0010512"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0008730"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0011749"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0011106"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0012598"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0012854"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0030349"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0030369"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0100779"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
