	"OMIM:126550"	"OMIM:167250"	"OMIM:171720"	"OMIM:606263"	"OMIM:615426"	"OMIM:616833"
"HP:0000006"	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0000365"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0001712"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000121"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003581"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0007354"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002669"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003155"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003198"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003701"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002757"	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0003084"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0005686"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0002653"	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0002758"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001677"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003805"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0003560"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0008180"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0006785"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0100299"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0010991"	0.0	0.0	0.0	0.0	0.0	0.0
