	"ES5"	"EW.11"	"U.87.MG"	"NCI.H1838"	"DMS.153"	"NCI.H1417"	"LU.65"	"EC.GI.10"	"LU.165"	"NCI.H128"	"SK.MEL.2"	"EKVX"	"COLO.824"	"EB2"	"JVM.3"	"KASUMI.1"	"LNCaP.Clone.FGC"	"MN.60"	"Mo.T"	"NH.12"	"NCI.H716"	"NCI.H2081"	"NCI.H2196"	"TUR"	"CW.2"	"AM.38"	"MFM.223"	"NCI.H719"	"BT.474"	"EW.12"	"EW.18"	"EW.13"	"MDST8"	"NCI.H1836"	"TC.71"	"CL.11"	"NCI.H2135"	"NCI.H1385"	"NCI.H1666"	"Calu.1"	"DV.90"	"EPLC.272H"	"KOSC.2"	"NCI.H1618"	"NCI.H292"	"COR.L105"	"Caov.3"	"HN"	"HSC.3"	"HSC.4"	"SNU.475"	"BPH.1"	"EFE.184"	"HO.1.N.1"	"PLC.PRF.5"	"H2596"	"KG.1.C"	"MCAS"	"WM239A"	"WM902B"	"BICR31"	"BC.2"	"K19"	"K8"	"KYSE.30"	"OSA.80"	"OSC.19"	"OUMS.23"	"UISO.MCC.1"	"NCI.H1404"	"RD.ES"	"COR.L311"	"NCI.H1184"	"NCI.H1926"	"EW7476"	"COR.L303"	"YMB.1.E"	"NCI.H865"	"OVCA433"	"SNU.175"	"NCI.H735"	"DIFI"
"Sunitinib"	0.491602	0.696028	1.576062	1.417667	1.922967	1.574862	0.564857	1.418583	1.351756	0.952604	0.963161	2.713333	1.0311	0.790547	1.39302	0.652475	1.132098	0.0	1.438325	0.933736	0.816129	1.20349	0.842943	1.095288	1.54356	1.230037	1.385997	0.274069	1.401379	2.246209	1.420182	0.705981	1.006259	0.521623	0.874337	1.572829	0.405506	1.012065	1.434454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"MG-132"	0.673874	0.240063	1.659827	2.334084	2.42721	2.032021	0.405128	1.295495	0.697728	1.086056	1.225421	0.694187	0.516563	1.006	0.637054	1.14823	1.143386	0.76512	0.0	1.514557	1.638556	0.381171	0.669139	1.534605	0.946337	1.105727	0.84857	0.192114	1.258588	2.759544	0.293213	1.71012	0.462112	0.402646	0.145702	0.657633	0.404536	0.372939	1.155511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paclitaxel"	1.680085	2.14518	1.462812	1.465153	1.738267	0.398098	0.18773	0.579497	1.398747	2.30789	1.402016	2.756695	1.265778	1.357531	1.8222	1.688834	1.688856	1.629201	1.855117	1.916436	2.004652	1.513546	1.082422	1.616043	2.063497	1.896814	1.70881	1.025841	0.641314	2.79041	1.262707	1.863745	0.24377	0.143703	0.0	1.763101	0.456027	1.910634	1.99908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cyclopamine"	0.80819	1.166413	1.273078	1.622231	1.934667	1.079867	0.518078	0.851832	1.271691	1.675386	0.0	2.182313	0.724333	0.0	0.828513	0.445171	0.423871	1.007686	0.834447	1.009218	1.253549	1.206211	0.905495	0.171212	1.079016	0.969779	0.843593	0.857827	0.982637	2.054917	0.631298	1.093569	0.729387	0.944314	0.168627	1.193126	0.946088	1.080147	0.996437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sorafenib"	1.006359	0.95707	0.423818	1.872792	0.632679	1.24524	0.554697	0.808637	0.634959	1.473567	1.591484	1.877422	0.456019	0.629923	0.535967	1.218022	0.68712	0.730949	1.327116	1.411123	0.397004	0.563958	0.674262	1.230978	1.367783	0.837179	0.489945	0.954047	0.597422	1.622115	0.0	0.861888	1.079317	0.803389	0.146826	1.241868	0.390505	0.0	0.322297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tozasertib"	1.123361	1.508357	1.228731	1.581036	0.97591	0.025476	1.529485	1.2017	1.366481	1.743129	1.021134	2.262102	1.191313	1.041921	1.199689	1.085054	1.354954	1.201575	1.23758	1.33302	1.473381	0.77656	1.071764	0.997119	1.445474	1.267955	1.186864	0.88126	1.10252	2.086107	1.259698	1.039529	0.35124	0.671931	0.586515	0.850926	0.86802	1.078911	1.368731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"NVP-TAE684"	0.529948	0.529384	1.055033	1.531548	0.523292	0.477454	0.147928	1.665545	0.854758	2.052817	0.223042	1.298514	0.593795	1.380219	1.639561	0.114952	0.678238	0.924677	1.686188	0.708791	0.0	1.062517	0.785151	0.891205	1.501384	1.715216	1.623736	0.660636	1.675581	0.634522	0.522935	0.928734	0.634076	0.332481	0.341965	0.565264	0.196725	1.126728	1.37717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Crizotinib"	1.014812	1.362738	0.101079	0.940186	1.353346	1.040499	1.13201	0.829385	1.032606	1.644998	0.421846	2.313724	0.946424	0.448318	0.822948	0.533438	0.676558	0.752433	0.892929	0.754729	1.055338	1.062064	0.392327	0.0	1.253098	0.616342	0.4941	0.628794	1.074885	2.354444	0.885034	0.662065	0.73703	1.206609	0.247199	0.943347	0.51742	0.766582	0.98524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Saracatinib"	1.102359	0.735813	1.061507	0.893504	0.462579	0.403948	0.858411	0.442337	1.139068	1.955918	0.95185	0.766052	1.064507	0.498046	0.966171	0.654429	1.228098	0.74595	0.93827	1.134872	0.995719	1.312091	1.059153	0.629757	1.33583	0.654808	0.965319	0.408929	0.584775	1.995302	0.573624	0.8673	0.806254	0.642987	0.0	1.250745	1.028022	1.043745	0.900758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"S-Trityl-L-cysteine"	2.003013	1.683741	2.127805	2.195868	2.242433	0.298501	0.606171	0.555965	1.189922	2.990505	1.687583	2.941585	1.488628	1.176086	2.002753	1.441826	1.998714	1.441021	2.015469	2.00566	2.213609	1.621507	1.183926	1.702138	2.325831	2.061682	2.018539	0.625956	0.998651	3.072731	2.04874	1.7923	0.184	0.03851	0.0	1.685726	0.798286	1.320853	2.222181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
