	"NCI.H2126"	"NCI.H1355"	"LB2241.RCC"	"LB996.RCC"	"EKVX"	"X697"	"ECC12"	"KE.37"	"NCI.SNU.5"	"P30.OHK"	"SCH"	"SIG.M5"	"SW684"	"BL.41"	"BL.70"	"A3.KAW"	"NCI.H2107"	"D.263MG"	"EW.12"	"CL.11"	"KARPAS.231"	"NU.DUL.1"	"SU.DHL.6"	"WIL2.NS"	"A498"	"KARPAS.45"	"KP.N.RT.BM.1"	"Kasumi.3"	"P116"	"CP67.MEL"	"NCI.H378"	"NCI.H250"	"SW780"	"NCI.H2170"	"SW756"	"MIA.PaCa.2"	"NCI.H2291"	"SW1573"	"KYSE.70"	"OVCAR.3"	"MCF7"	"Hs.578.T"	"HOP.92"	"CAL.72"	"Detroit562"	"FADU"	"HEC.1"	"HT.1376"	"HT55"	"DMS.53"	"Mewo"	"MG.63"	"NCI.H441"	"NCI.H2452"	"NCI.H1793"	"NCI.H28"	"Saos.2"	"SW13"	"OE19"	"COLO.678"	"NY"	"C3A"	"NCI.H1651"	"SW1990"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"NCI.H2023"	"H2369"	"H2461"	"Hs.766T"	"huH.1"	"KON"	"KYSE.30"	"MCC26"	"OCUM.1"	"PANC.04.03"	"PCI.30"	"SU.DHL.5"	"SU.DHL.10"	"SW1116"	"NCI.H929"	"MHH.CALL.2"	"MOLT.16"	"TI.73"	"BALL.1"	"CML.T1"	"Jurkat"	"CRO.AP3"	"KARPAS.1106P"	"MOLM.16"	"OVCA432"	"MM1S"	"OCI.LY7"	"Set2"
"CP466722"	1.230139	0.28881	2.16342	1.625291	2.477099	0.0	0.0	0.0	1.770076	0.0	1.685599	0.0	2.055904	0.0	0.0	0.0	0.0	2.267488	0.0	0.871474	0.0	0.0	0.0	0.0	0.783171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.563621	0.767527	2.39826	1.981933	2.634334	0.449033	0.706714	0.988971	1.819859	2.215946	1.227771	2.355926	0.685092	0.430819	1.632456	2.414672	2.191461	1.69894	2.354104	2.283823	1.84033	2.390607	0.0	1.179679	2.758944	2.049781	1.718153	2.459277	1.055688	2.095892	2.228908	1.908557	2.206347	1.97785	2.584846	2.034401	0.839164	1.104245	0.901354	1.238947	2.500243	1.566882	0.0	2.228817	1.387611	1.819044	1.68959	0.0	0.0	0.920661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"AKT inhibitor VIII"	0.400762	0.203427	1.631937	1.611965	2.348387	0.0	0.0	0.0	1.587758	0.0	1.443587	0.0	2.171468	0.0	0.0	0.0	0.0	1.881475	0.0	1.902645	0.0	0.0	0.0	0.0	1.564745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.727937	0.630654	1.907909	0.577418	0.946698	1.434442	0.268083	1.799997	1.607089	1.741456	1.69205	1.742605	0.148465	0.753924	0.874562	1.922893	1.721989	0.421506	1.672554	1.810351	0.957561	1.900921	1.787458	1.174958	2.22944	0.35131	1.251935	1.204361	0.593374	1.722534	1.76076	1.788246	0.02035	1.840296	1.37098	2.272112	1.460494	1.129948	0.674381	1.223859	1.995045	1.155563	0.0	1.541695	1.821698	0.995659	0.812372	0.0	0.0	1.442481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"5-Fluorouracil"	1.482203	1.184801	1.143629	1.392989	2.661721	0.0	0.0	0.0	0.00583	0.0	1.671151	0.0	2.164634	0.0	0.0	0.0	0.0	1.093186	0.0	0.737839	0.0	0.0	0.0	0.0	1.493949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.232717	0.174207	0.632786	1.223362	2.086398	1.844481	0.305448	1.646544	1.48	1.588377	1.513822	1.709021	0.927278	0.652985	1.405869	1.750847	1.267717	1.556245	0.95146	0.0	1.378894	0.949599	1.856289	0.34213	2.023446	1.464572	0.925749	1.26756	0.725107	1.520307	1.005086	0.726489	1.887751	1.759832	1.957772	1.883639	0.414269	1.207268	1.614693	1.587554	1.824174	1.208284	0.0	1.8844	0.545343	0.911431	1.470996	0.0	0.0	2.104239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BMS-345541"	1.29155	1.86174	1.938594	2.258309	2.196842	0.0	0.0	0.0	0.460155	0.0	0.715059	0.0	2.804995	0.0	0.0	0.0	0.0	0.157914	0.0	1.693156	0.0	0.0	0.0	0.0	1.205837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.748069	0.661215	2.277485	0.980821	1.703607	1.025405	0.279739	1.310071	1.754465	1.987698	1.852048	2.374918	0.651333	0.108955	1.301478	1.739494	1.859441	1.209206	0.420976	2.293268	2.204758	2.409038	1.895736	1.297549	1.588047	1.184128	0.815849	1.363819	0.992138	0.787595	1.79569	0.719391	2.428981	2.148865	2.34242	1.302629	1.661436	1.439368	2.511632	2.292804	2.3229	1.011126	0.0	1.868192	1.945423	1.999949	2.535128	0.0	0.0	2.999093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Avagacestat"	1.226366	0.491773	0.672112	0.835109	3.107561	0.0	0.0	0.0	0.710253	0.0	0.817829	0.0	2.16903	0.0	0.0	0.0	0.0	0.832733	0.0	0.796022	0.0	0.0	0.0	0.0	2.000961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.397936	0.784011	1.086041	0.456111	1.685515	0.954313	0.398253	1.061048	0.423487	1.074995	0.931549	1.134627	0.129333	0.099726	0.255466	0.0	0.704124	0.546105	0.498646	0.899728	1.713148	1.018722	1.957941	1.178244	1.683725	0.816255	0.97902	1.581498	0.0	0.430026	0.272777	1.36723	1.686835	0.467157	1.441752	1.020276	1.181889	0.848842	0.835626	1.464123	0.343057	0.400774	0.0	1.465224	0.876301	2.243508	1.318754	0.0	0.0	2.114771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ruxolitinib"	1.031755	0.993628	0.538259	0.673223	2.618811	0.0	0.0	0.0	0.385628	0.0	0.729067	0.0	1.570595	0.0	0.0	0.0	0.0	0.849363	0.0	0.810814	0.0	0.0	0.0	0.0	0.964992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59517	0.297676	0.890522	0.495331	1.495648	0.62948	0.402362	0.440532	0.0	0.620414	0.291016	0.836492	0.179639	0.162908	0.259932	0.914483	0.592843	0.66201	0.848664	0.640876	1.207221	0.875149	1.344011	0.818276	1.422784	0.355319	0.78388	1.291867	0.342935	0.297644	0.639416	0.898351	1.220716	0.907521	0.902719	1.472956	0.878178	0.425851	0.981462	0.947442	1.054038	0.164118	0.0	0.932762	0.578761	1.538115	1.036244	0.0	0.0	1.417921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ispinesib Mesylate"	1.302623	0.747943	1.410484	1.503911	2.074092	0.0	0.0	0.0	0.419977	0.0	1.544885	0.0	1.726352	0.0	0.0	0.0	0.0	1.440399	0.0	1.5721	0.0	0.0	0.0	0.0	1.385755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.988589	0.563705	1.560968	0.529541	1.918501	1.363336	0.248379	1.38166	1.265789	1.256825	1.253033	1.542605	0.56572	0.459048	0.748349	1.474246	1.086159	1.528292	1.535549	1.352657	1.608552	1.551943	1.029236	1.47688	1.634434	1.287448	1.550579	1.715256	1.320095	1.403264	1.367743	1.323005	0.290798	1.370184	1.787412	1.918187	1.546769	0.102813	1.632396	1.842227	1.698282	1.059451	0.0	1.372393	1.392534	1.515974	1.68859	0.0	0.0	1.957527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TL-2-105"	0.854376	1.345429	0.98246	0.937505	2.526834	0.0	0.0	0.0	0.839592	0.0	0.989877	0.0	1.823526	0.0	0.0	0.0	0.0	1.217854	0.0	0.738898	0.0	0.0	0.0	0.0	1.370045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042511	0.793355	1.247666	0.042884	0.289214	0.749034	1.008104	0.940041	0.902584	1.047762	0.981459	1.148933	0.471631	0.747576	0.772747	1.264812	1.03573	1.145981	1.105469	1.109513	0.975921	1.228491	1.023785	1.169163	1.627241	0.884939	1.13815	1.507168	0.854046	1.031869	1.069968	1.185317	1.55481	0.918502	1.347644	1.663014	0.466715	0.827924	0.519069	1.3222	1.364318	0.694967	0.0	1.063446	1.148353	1.283726	1.351357	0.0	0.0	1.755273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"AT-7519"	0.864888	1.389098	2.002778	1.280259	1.353433	0.0	0.0	0.0	0.419077	0.0	0.59743	0.0	2.275536	0.0	0.0	0.0	0.0	0.549947	0.0	1.903679	0.0	0.0	0.0	0.0	1.299476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.241878	0.699466	2.154167	1.161789	2.39661	0.845096	0.245387	1.957349	1.624879	2.034945	1.130757	2.134616	0.810006	0.258719	1.12157	1.60549	1.482184	2.096523	1.065371	1.948983	1.225106	2.161098	1.403437	1.835492	1.971242	1.496889	2.033042	1.068396	1.831031	1.490471	0.902781	0.742066	1.278424	0.944125	2.304034	0.683657	1.385692	0.308308	0.810511	1.972029	1.965885	1.102739	0.0	1.868487	1.076926	1.287782	2.129016	0.0	0.0	2.505305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TAK-715"	0.880778	0.338943	0.342507	0.476593	2.633692	0.0	0.0	0.0	0.620371	0.0	0.503932	0.0	1.977736	0.0	0.0	0.0	0.0	1.124834	0.0	0.495388	0.0	0.0	0.0	0.0	1.496862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.703945	0.605219	1.613633	0.339992	1.887949	0.563754	0.0	1.093806	0.139721	1.378835	1.059316	1.454813	0.236371	0.030519	0.098881	0.0	0.747729	1.122342	1.295633	1.531311	0.375666	1.350536	1.152056	1.138953	2.086427	0.335926	1.197282	1.953827	0.447113	1.338176	1.219336	1.073126	1.667369	1.526265	1.296324	1.00254	0.625147	1.051836	1.714831	1.953756	1.250793	0.298973	0.0	1.305155	0.597628	2.322889	1.416032	0.0	0.0	2.228154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
