	"NCI.H1395"	"NCI.H720"	"NCI.H1838"	"DMS.114"	"NCI.H2227"	"NCI.H345"	"BB30.HNC"	"CTV.1"	"DMS.79"	"EC.GI.10"	"NCI.H128"	"NCI.H23"	"NCI.H322M"	"X697"	"DG.75"	"DOHH.2"	"ECC4"	"EoL.1.cell"	"EVSA.T"	"JVM.3"	"KASUMI.1"	"LC.2.ad"	"NCI.SNU.16"	"NCI.H716"	"NCI.H1581"	"SCH"	"SIG.M5"	"SK.LMS.1"	"SKM.1"	"SK.MEL.1"	"TUR"	"QIMR.WIL"	"CW.2"	"RL"	"UACC.812"	"ALL.PO"	"MFM.223"	"NCI.H2107"	"D.502MG"	"TC.71"	"SUP.B15"	"CL.11"	"NCI.H1385"	"OCI.LY.19"	"RC.K8"	"SK.N.FI"	"JAR"	"KY821"	"MDA.MB.134.VI"	"MSTO.211H"	"NCI.H1666"	"NCI.H2029"	"NCI.H2291"	"ACHN"	"HEC.1"	"HOS"	"HuCCT1"	"G.401"	"KYSE.510"	"MDA.MB.175.VII"	"NCI.H1573"	"SK.HEP.1"	"SNU.475"	"CHL.1"	"BT.483"	"COLO.783"	"OSC.20"	"OVKATE"	"CHSA0011"	"H2818"	"NCI.H2444"	"OUMS.23"	"PCI.4B"	"WM793B"	"Sarc9371"	"SU.DHL.10"	"OVK.18"	"NCI.H929"	"MHH.CALL.2"	"BALL.1"	"JEKO.1"	"MOLM.16"
"JQ12"	1.968494	1.793166	2.279423	2.064275	1.146547	1.887588	0.0	0.0	1.337478	1.869307	0.0	1.27279	2.268078	0.0	0.364131	0.0	1.020415	0.0	0.554502	1.23967	0.0	0.0	1.611079	1.812302	1.137012	2.017565	0.0	0.0	0.0	1.652747	0.0	0.0	2.131546	0.943174	1.891018	0.0	1.696193	0.0	2.50961	0.730379	0.0	1.941352	1.373753	0.0	1.02244	0.739496	1.750997	1.116755	0.946285	1.612368	1.83399	1.162464	2.381787	0.0	0.09299	0.0	0.0	0.0	0.0	0.529393	1.467848	0.0	1.602369	0.0	1.331595	1.446512	0.0	2.445018	1.082365	1.588094	0.820759	0.0	0.0	0.0	1.164115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"DMOG"	2.21985	2.075562	2.136067	1.050074	1.004017	0.124022	0.0	0.0	1.86191	1.828648	0.0	0.821721	1.486462	0.0	0.017643	0.0	1.740928	0.0	0.978035	2.0506	0.0	0.0	1.903774	0.972848	0.456832	0.952135	0.0	0.0	0.0	0.971644	0.0	0.0	2.928155	0.075157	1.080941	0.0	1.399589	0.0	1.423543	1.216938	0.0	1.399528	0.296767	0.0	1.7409	1.146075	1.362675	1.382527	1.477984	1.705082	0.0	0.215514	1.317708	0.0	0.426712	0.0	0.0	0.360065	0.0	1.731436	1.428608	0.0	0.773946	0.175365	3.026818	1.827127	0.0	0.310897	1.239696	0.225654	2.356392	0.0	0.0	0.0	2.321396	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"OSU-03012"	0.758248	1.035228	3.069791	0.906274	0.264073	2.438889	0.0	0.0	2.255222	1.981114	0.0	0.620371	3.255077	0.0	0.0	0.0	0.850028	0.0	0.60849	0.590592	0.0	0.0	2.446334	0.819168	0.457123	2.991511	0.0	0.0	0.0	2.200448	0.0	0.0	3.012049	0.164441	2.220598	0.0	0.617369	0.0	2.009625	0.475771	0.0	0.693135	2.759539	0.0	0.337567	0.623941	2.172707	0.239538	0.687615	2.442091	0.0	0.840456	3.467146	0.0	0.0	0.0	0.0	0.0	0.0	1.347787	0.609118	0.0	0.505041	0.0	2.826465	2.756108	0.0	0.990048	3.375808	2.855937	1.172492	0.0	0.0	0.0	3.686758	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Embelin"	2.247602	2.914313	2.298734	0.788952	3.361941	2.478925	0.0	0.0	3.101933	1.990797	0.0	1.376623	3.819302	0.0	1.991822	0.0	0.390421	0.0	0.973488	2.062689	0.0	0.0	2.747821	2.272612	0.764964	0.25803	0.0	0.0	0.0	0.984844	0.294268	0.0	3.483553	1.79807	0.68378	0.0	1.130266	0.0	0.796709	1.536572	0.0	2.331695	1.518407	0.0	0.415337	2.188181	1.708404	1.357708	0.860572	0.838659	1.468985	1.320859	2.931398	0.004276	0.0	0.0	0.0	0.0	0.0	0.351739	1.555829	0.0	1.558322	0.0	2.397703	1.869503	0.0	0.906044	3.085146	1.99161	1.649703	0.0	0.0	0.0	2.677643	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"FH535"	3.018785	2.189945	2.335607	1.370905	0.271362	0.0	0.0	0.0	3.292658	0.846711	0.0	1.323201	3.902451	0.0	1.357407	0.0	1.194461	0.0	0.498032	1.647403	0.0	0.0	1.4363	2.073655	0.253596	0.55102	0.0	0.0	0.0	1.567321	0.130803	0.0	3.308269	1.074536	1.078687	0.0	1.346511	0.0	0.0	0.91434	0.0	1.782106	1.619322	0.580034	0.328308	0.744274	1.053864	1.253017	1.182111	0.838959	1.433693	0.946724	2.044221	0.0	0.045041	0.0	0.076919	0.0	0.0	0.0	0.780203	0.0	1.924939	0.0	3.728228	1.45941	0.0	2.591871	2.014937	1.777589	2.75769	0.0	0.0	0.061892	0.759363	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GSK650394"	1.366627	1.210488	1.608299	1.039163	1.438542	1.590798	0.0	0.0	1.40662	1.008902	0.0	1.165714	1.79645	0.0	0.936482	0.0	0.212468	0.0	0.546421	1.145781	0.0	0.0	1.011951	1.379509	0.978034	1.475217	0.0	0.0	0.0	1.1066	0.0	0.0	1.56934	1.125986	1.328627	0.0	1.273593	0.0	1.757028	0.869426	0.569562	1.495132	1.193212	0.0	0.766377	1.32477	0.969895	0.862155	0.667539	1.097161	1.433804	0.89685	1.94428	0.0	0.0	0.0	0.0	0.0	0.0	1.175633	0.620747	0.0	0.586759	0.0	2.44322	1.30667	0.0	2.155831	1.810586	1.413974	1.668582	0.0	0.0	0.0	2.001836	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BAY-61-3606"	1.262574	1.584726	1.033546	0.904998	1.902969	1.577157	0.0	0.0	1.251559	1.669305	0.0	0.836506	2.123485	0.0	0.790545	0.0	2.093098	0.0	0.832461	0.876272	0.0	0.0	0.866314	0.780721	0.203558	1.903576	0.0	0.153189	0.0	0.409547	0.0	0.0	1.951832	1.491361	1.706287	0.0	1.653212	0.0	1.365105	1.050362	0.0	1.979122	0.0	0.0	0.031983	0.702628	1.573464	0.704768	1.860341	1.479475	1.022253	0.798264	2.352112	0.0	0.0	0.0	0.0	0.0	0.0	0.429879	0.567271	0.0	0.380628	0.0	2.541873	1.681165	0.0	2.367415	0.844261	1.226812	2.052282	0.0	0.0	0.0	1.195069	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thapsigargin"	0.814875	2.762852	2.750282	1.635029	1.449158	0.338699	0.0	0.0	2.319684	1.137847	0.0	1.214406	2.56029	0.0	1.676325	0.0	2.197739	0.0	0.666167	0.0	0.0	0.0	0.5296	1.846669	0.0	3.058066	0.0	0.0	0.0	1.340252	0.0	0.845633	3.098783	1.884274	2.832928	0.0	2.191838	0.0	0.798074	1.050648	0.076602	2.675094	1.851055	0.0	0.6379	0.776604	2.733263	0.0	1.897267	0.510468	1.54235	1.446321	3.237816	0.0	0.0	0.0	0.0	0.0	0.0	1.11624	1.648261	0.0	1.627983	0.0	3.222623	0.398546	0.0	1.450198	1.905334	1.889848	3.182975	0.0	0.0	0.0	1.612471	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Obatoclax Mesylate"	2.03781	1.829265	3.155696	0.751914	1.618024	1.963252	0.0	0.0	2.576406	2.243279	0.0	1.647343	4.118886	0.0	1.426	0.0	2.697112	0.0	0.353561	2.095827	0.0	0.0	2.056666	0.865684	0.946907	3.067244	0.0	0.0	0.0	1.835899	0.0	0.0	3.921393	1.366984	2.005639	0.0	0.941643	0.0	1.731852	1.655527	0.0	1.790563	2.169596	0.0	0.4837	1.185109	2.632767	0.0	1.079664	1.05367	0.822619	1.836378	3.647288	0.0	0.0	0.0	0.0	0.0	0.0	0.915621	1.880271	0.0	2.542604	0.0	1.232071	1.481409	0.0	2.281073	1.866648	1.640056	1.247343	0.0	0.0	0.0	1.145567	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BMS-754807"	1.996763	1.706411	2.065525	0.997219	0.622618	0.706223	0.0	0.096199	1.660294	1.284021	0.0	1.334928	0.890716	0.0	1.730342	0.273033	0.51494	0.0	1.280357	1.642591	0.0	0.0	0.547436	0.258764	0.48551	1.996012	0.0	0.0	0.0	1.47122	0.08628	0.0	1.907759	1.622227	1.816503	0.0	1.077097	0.0	2.422829	0.803225	0.0	1.36011	1.443181	0.0	1.326099	0.0	1.694528	1.399233	1.018532	1.617907	1.327273	0.014196	2.190694	0.126762	1.00299	0.0	0.0	0.0	0.0	0.812908	1.371861	0.0	0.892835	0.405728	2.504955	0.091606	0.0	0.043791	2.128474	1.260412	0.863692	0.746031	0.237319	0.0	2.535873	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bexarotene"	1.133964	0.932061	1.707065	0.80192	1.206256	1.073865	0.0	0.0	1.759532	0.997877	0.0	0.687037	1.402722	0.0	0.86006	0.278743	1.514875	0.0	0.623578	1.010316	0.0	0.0	0.828576	1.293765	0.495135	0.610356	0.0	0.0	0.0	0.752642	0.0	0.0	1.57978	0.641745	1.228988	0.0	0.916374	0.0	1.860332	0.355082	0.0	1.269111	1.312446	0.0	0.249868	0.611855	0.977029	0.199495	1.009443	0.92587	1.44156	1.042288	2.09907	0.0	0.0	0.0	0.0	0.0	0.0	0.58883	0.900694	0.0	0.0	0.0	2.47707	1.191325	0.0	0.0	1.938397	1.030901	1.678863	0.0	0.0	0.530355	2.297386	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bleomycin"	1.238121	1.123731	0.583574	0.106359	1.617489	1.884999	0.0	0.0	1.568316	1.209242	0.0	0.0	2.393708	0.0	0.482408	0.032821	1.009352	0.0	1.461886	1.690353	0.0	0.0	2.027999	2.11382	1.056953	1.687884	0.0	0.0	0.0	1.54243	0.480929	0.0	1.903904	1.060914	1.268177	0.0	2.167241	0.0	2.304119	1.252503	0.0	1.776705	1.808043	0.0	0.712536	1.671145	1.435857	1.217592	1.45734	1.322476	1.35758	1.294382	2.217693	0.0	0.659076	0.0	0.259982	0.0	0.0	0.0	1.441497	0.0	0.863744	0.0	2.440469	0.940363	0.163277	2.509257	0.962905	0.412419	1.51863	0.017553	0.0	0.0	2.242201	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LFM-A13"	1.234568	0.966524	1.900053	1.476938	1.612789	1.774929	0.0	0.0	1.57712	0.889929	0.0	0.970562	1.256743	0.0	0.654749	0.085967	1.542256	0.0	0.183149	1.076009	0.0	0.0	0.620543	1.512513	0.218648	0.908777	0.0	0.0	0.0	0.718062	0.578206	0.0	1.725322	0.661804	0.849992	0.0	1.049384	0.0	1.907048	0.0	0.0	1.765088	1.043611	0.0	0.733854	1.152342	0.926742	0.572481	0.521775	0.667795	1.134674	0.93647	2.522232	0.428346	0.245221	0.0	0.0	0.0	0.208842	0.65841	1.191067	0.0	0.306372	0.554544	3.857738	1.143144	0.664715	1.747479	2.255288	1.236793	1.73909	0.018404	0.35443	0.0	2.056043	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luminespib"	2.522873	1.735854	2.728047	1.269096	1.236239	2.769759	0.0	0.0	1.725017	1.503207	0.0	0.557375	2.630311	0.0	1.567815	0.0	0.792457	0.0	0.460425	0.852555	0.0	0.0	2.379618	1.056746	1.228849	2.836058	0.0	0.0	0.0	1.336264	0.0	0.0	2.922851	0.717354	1.118309	0.0	1.907748	0.0	1.619018	0.692488	0.0	1.848042	0.725902	0.0	0.87295	1.122097	1.722727	0.076902	0.552869	2.468399	2.415918	1.330549	3.318821	0.0	0.082897	0.0	0.0	0.0	0.0	0.851703	1.043197	0.0	1.273347	0.0	3.904072	0.787951	0.0	3.597293	3.11742	2.748118	3.028126	0.0	0.0	0.0	1.026356	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dacinostat"	3.067322	3.633338	3.869023	2.004259	1.705224	1.681718	0.0	0.0	0.441356	1.775584	0.0	0.721313	3.003179	0.0	1.336925	0.0	1.309027	0.0	0.0	0.0	0.0	0.0	1.421949	1.934076	0.334749	1.692763	0.0	0.0	0.0	1.714016	0.0	0.0	3.80592	0.549699	2.680913	0.0	1.283312	0.0	1.927842	0.831281	0.0	1.953719	0.875734	0.0	0.467498	1.127825	0.386662	0.435106	1.030822	3.953329	1.35439	0.850725	3.843345	0.0	0.0	0.0	0.0	0.0	0.0	0.821989	1.497263	0.0	0.957245	0.0	0.664198	1.591961	0.123995	1.653646	1.781928	1.850026	0.296755	0.0	0.0	0.0	2.38962	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Epothilone B"	1.547625	1.983732	2.256478	1.21983	1.744807	2.251645	0.0	0.0	1.448342	0.847404	0.0	0.677961	2.622704	0.0	0.976681	0.0	1.156029	0.0	0.556077	2.151425	0.0	0.0	0.849666	2.354789	0.724268	2.110249	0.0	0.0	0.0	1.989065	0.0	0.0	2.427733	1.74996	1.859854	0.0	1.985722	0.0	1.250196	0.736286	0.0	1.858114	1.75995	0.0	1.124995	1.820244	1.062855	1.601284	0.922527	1.918633	1.571309	1.950284	2.433781	0.0	0.063812	0.0	0.0	0.0	0.0	1.525473	1.031606	0.0	0.66834	0.0	2.954897	2.186793	0.0	3.010267	2.550317	2.290533	1.559144	0.087711	0.0	0.0	0.460168	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tipifarnib"	1.125645	2.1711	2.537859	0.973431	2.267016	2.030965	0.0	0.0	1.332209	2.25501	0.0	1.93878	2.764519	0.0	1.308268	0.082549	0.977455	0.0	0.366794	1.630063	0.0	0.0	1.775371	1.547641	0.799731	2.487814	0.0	0.0	0.0	2.071024	0.0	0.0	2.5408	1.837494	1.929502	0.0	0.754864	0.0	1.71949	1.114076	0.0	2.133425	2.236642	0.0	0.78044	1.905696	1.639552	1.534691	0.799938	1.669936	2.292089	1.660975	2.570427	0.0	0.282441	0.0	0.0	0.0	0.0	1.131004	1.974164	0.0	1.580854	0.0	3.158069	2.085436	0.0	1.800633	2.770665	0.864971	1.288945	0.0	0.0	0.0	2.49862	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"AS601245"	1.783097	2.013839	1.996693	1.60438	2.284485	2.561238	0.0	0.0	2.400925	1.372597	0.0	0.846832	2.851795	0.0	1.806052	0.0	1.813668	0.0	0.425012	1.226326	0.0	0.0	1.644653	1.945052	0.781833	2.460605	0.0	0.0	0.0	0.606667	0.0	0.0	2.528392	0.838101	2.081891	0.0	1.723565	0.0	2.483244	1.554836	0.0	2.515775	0.997275	0.0	0.361902	1.769969	2.026798	0.641991	1.442253	0.795349	2.40302	1.393574	3.083578	0.0	0.105041	0.0	0.0	0.0	0.0	0.376388	1.392801	0.0	0.651048	0.0	3.314597	2.165091	0.0	1.494943	1.146443	2.31625	0.622206	0.0	0.0	0.0	2.527659	0.0	0.0	0.0	0.0	0.0	0.0	0.0
