	"Ocular cystinosis"	"Xeroderma Pigmentosum, Complementation Group a"	"Xeroderma Pigmentosum, Complementation Group C"	"Xeroderma Pigmentosum, Complementation Group D"	"Xeroderma pigmentosum, group E"	"Xeroderma pigmentosum, variant type"	"De Sanctis-Cacchione Syndrome"
"Microcephaly"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Intellectual disability"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Sensorineural hearing impairment"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Proximal finger joint hyperextensibility"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Microphthalmia"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Ataxia"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Severe short stature"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Cerebellar atrophy"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Hyporeflexia"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Conjunctivitis"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Dry skin"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cutaneous photosensitivity"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Dermal atrophy"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Photophobia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hypopigmentation of the skin"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Choreoathetosis"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Mental deterioration"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Spasticity"	0.0	1.0	0.0	1.0	0.0	0.0	1.0
"Basal cell carcinoma"	0.0	0.0	1.0	0.0	1.0	1.0	0.0
"Areflexia"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0011463"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Keratitis"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Squamous cell carcinoma of the skin"	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Keratoconjunctivitis sicca"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Cutaneous melanoma"	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Olivopontocerebellar atrophy"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Corneal neovascularization"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Ectropion"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Poikiloderma"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Telangiectasia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Defective DNA repair after ultraviolet radiation damage"	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"Freckles in sun-exposed areas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Melanoma"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Entropion"	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Gonadal hypoplasia"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
