	"OMIM:127550"	"OMIM:224230"	"OMIM:268130"	"OMIM:305000"	"OMIM:613989"	"OMIM:613990"	"Orphanet:1775"
"HP:0000252"	0.0	1.0	0.0	1.0	1.0	1.0	0.0
"HP:0001249"	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0000750"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000691"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000028"	0.0	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0000007"	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0001792"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003812"	1.0	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0000939"	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0000953"	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0000579"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000958"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002209"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0004334"	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002164"	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0000653"	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0009926"	0.0	1.0	0.0	1.0	0.0	1.0	0.0
"HP:0002206"	1.0	1.0	0.0	1.0	1.0	1.0	0.0
"HP:0005528"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002721"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001882"	0.0	0.0	0.0	1.0	1.0	1.0	0.0
"HP:0001395"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000488"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002043"	0.0	1.0	0.0	1.0	1.0	0.0	0.0
"HP:0002165"	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0007427"	0.0	0.0	0.0	1.0	1.0	1.0	0.0
