	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"
"Global developmental delay"	1.0	1.0	1.0	1.0
"Plagiocephaly"	0.0	0.0	0.0	1.0
"Intellectual disability, moderate"	0.0	0.0	0.0	1.0
"Round face"	0.0	0.0	0.0	1.0
"Autism"	0.0	0.0	0.0	1.0
"Macroglossia"	0.0	0.0	0.0	1.0
"Recurrent infections"	0.0	0.0	0.0	1.0
"Transposition of the great arteries"	0.0	0.0	0.0	1.0
"Patent foramen ovale"	0.0	0.0	0.0	1.0
