	"OMIM:214100"	"OMIM:214110"	"OMIM:235255"	"OMIM:614866"	"Orphanet:1655"	"Orphanet:912"
"HP:0001249"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0001627"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0003819"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0000175"	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0000113"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0000954"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0001762"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0000239"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0001511"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0000107"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001093"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0002967"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0007759"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0009473"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0012385"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0001840"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0000268"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0002104"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0001284"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0000262"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003355"	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000580"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0100540"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0012103"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0002033"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0000778"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003455"	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0001401"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0011039"	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0002764"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0008935"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0007227"	0.0	0.0	0.0	1.0	0.0	0.0
