	"OMIM:212400"	"OMIM:219400"	"OMIM:244850"	"OMIM:270220"	"OMIM:601277"	"OMIM:614441"	"OMIM:615024"
"HP:0001650"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000707"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000962"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0030314"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002829"	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001438"	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0000982"	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"HP:0001217"	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0002094"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0025114"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000961"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0012115"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001820"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001648"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0007431"	1.0	0.0	0.0	1.0	1.0	0.0	1.0
"HP:0000656"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0006527"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
