	"OMIM:100070"	"OMIM:131100"	"Orphanet:276152"	"Orphanet:652"	"Orphanet:913"	"Orphanet:97261"	"Orphanet:97278"	"Orphanet:97280"	"Orphanet:97282"	"Orphanet:97283"
"HP:0002019"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0002240"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000845"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000870"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002893"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002014"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0002239"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0000837"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0000820"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0001031"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002897"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0003072"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0003118"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0008256"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0004396"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0001824"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0008200"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0001406"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002894"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0001541"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002039"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0002574"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001046"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0005214"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"HP:0012334"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002017"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0100833"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
"HP:0030145"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
