	"OMIM:248900"	"OMIM:260200"	"OMIM:311000"	"OMIM:602473"	"OMIM:604004"	"OMIM:613675"	"Orphanet:282166"
"HP:0005327"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0012672"	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0007158"	0.0	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0007686"	0.0	0.0	1.0	0.0	0.0	0.0	1.0
"HP:0007183"	0.0	0.0	0.0	1.0	0.0	1.0	1.0
"HP:0006943"	0.0	0.0	0.0	0.0	1.0	0.0	1.0
"HP:0010846"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0011099"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0025152"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0100292"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
