	"OMIM:224700"	"OMIM:615770"	"OMIM:616201"	"Orphanet:1880"
"HP:0001631"	1.0	0.0	0.0	1.0
"HP:0001508"	0.0	0.0	1.0	0.0
"HP:0000007"	1.0	1.0	1.0	0.0
"HP:0001643"	0.0	0.0	0.0	1.0
"HP:0001642"	0.0	0.0	1.0	0.0
"HP:0001647"	0.0	0.0	1.0	0.0
"HP:0012378"	0.0	0.0	0.0	1.0
"HP:0001622"	0.0	0.0	0.0	1.0
"HP:0001635"	0.0	0.0	0.0	1.0
"HP:0004420"	0.0	0.0	0.0	1.0
"HP:0001645"	1.0	0.0	0.0	1.0
"HP:0025478"	1.0	0.0	0.0	0.0
"HP:0005110"	1.0	1.0	1.0	1.0
"HP:0011712"	1.0	0.0	0.0	1.0
"HP:0001653"	0.0	0.0	1.0	0.0
"HP:0100749"	0.0	0.0	0.0	1.0
"HP:0002093"	0.0	0.0	0.0	1.0
"HP:0011704"	0.0	0.0	1.0	0.0
"HP:0001662"	0.0	0.0	1.0	0.0
"HP:0004309"	1.0	0.0	0.0	0.0
"HP:0010316"	1.0	0.0	0.0	1.0
"HP:0002637"	0.0	0.0	0.0	1.0
"HP:0004306"	0.0	0.0	0.0	1.0
"HP:0011575"	0.0	0.0	0.0	1.0
