	"OMIM:166710"	"OMIM:612286"	"OMIM:612287"	"OMIM:613418"	"OMIM:615267"	"OMIM:615269"	"OMIM:615271"
"HP:0000135"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000365"	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0000938"	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"HP:0000939"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002148"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000458"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000164"	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0002659"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000787"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000823"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002150"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003109"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000117"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
