	"OMIM:603194"	"OMIM:607261"	"OMIM:607361"	"OMIM:611134"	"OMIM:611561"	"OMIM:612284"
"HP:0000252"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001631"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002079"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000079"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000175"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000204"	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0000007"	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0001762"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000568"	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0001629"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002084"	1.0	0.0	1.0	1.0	0.0	0.0
"HP:0000238"	0.0	1.0	1.0	1.0	0.0	1.0
"HP:0001162"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001511"	1.0	0.0	0.0	1.0	0.0	0.0
"HP:0001425"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000107"	1.0	0.0	0.0	1.0	0.0	1.0
"HP:0000003"	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0010442"	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0006487"	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0002335"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001305"	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002435"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002089"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001830"	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0002085"	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0002323"	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0001408"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002419"	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000812"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0006706"	0.0	0.0	0.0	0.0	0.0	1.0
