	"OMIM:126800"	"OMIM:147330"	"OMIM:227270"	"OMIM:268305"	"OMIM:300106"	"OMIM:607323"	"OMIM:617041"	"Orphanet:1358"	"Orphanet:251909"
"HP:0000487"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000542"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0000619"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0000634"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
"HP:0000661"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0009486"	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
"HP:0008744"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0008753"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0009094"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0010752"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0100499"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0008588"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0008998"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0009016"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
