	"OMIM:100070"	"OMIM:227645"	"OMIM:227646"	"OMIM:227650"	"OMIM:600901"
"HP:0000252"	0.0	1.0	1.0	1.0	1.0
"HP:0001249"	0.0	1.0	1.0	1.0	1.0
"HP:0001518"	0.0	1.0	1.0	1.0	1.0
"HP:0000957"	0.0	1.0	1.0	1.0	1.0
"HP:0001627"	0.0	1.0	1.0	1.0	1.0
"HP:0004322"	0.0	1.0	1.0	1.0	1.0
"HP:0000028"	0.0	1.0	1.0	1.0	1.0
"HP:0001263"	0.0	0.0	0.0	0.0	1.0
"HP:0000085"	0.0	1.0	1.0	1.0	1.0
"HP:0000104"	0.0	1.0	1.0	1.0	1.0
"HP:0000486"	0.0	1.0	1.0	1.0	1.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0
"HP:0000568"	0.0	1.0	1.0	1.0	1.0
"HP:0000365"	0.0	1.0	1.0	1.0	1.0
"HP:0009778"	0.0	1.0	1.0	1.0	1.0
"HP:0001000"	0.0	1.0	1.0	1.0	1.0
"HP:0001873"	0.0	1.0	1.0	1.0	1.0
"HP:0001875"	0.0	1.0	1.0	1.0	1.0
"HP:0001896"	0.0	1.0	1.0	1.0	1.0
"HP:0009777"	0.0	1.0	1.0	1.0	1.0
"HP:0009943"	0.0	1.0	1.0	1.0	1.0
"HP:0000978"	0.0	1.0	1.0	1.0	1.0
"HP:0003974"	0.0	1.0	1.0	1.0	1.0
"HP:0000086"	0.0	1.0	1.0	1.0	1.0
"HP:0001903"	0.0	1.0	1.0	1.0	1.0
"HP:0000081"	0.0	1.0	1.0	1.0	1.0
"HP:0001909"	0.0	1.0	1.0	1.0	1.0
"HP:0000815"	0.0	1.0	1.0	1.0	1.0
"HP:0001876"	0.0	1.0	1.0	1.0	1.0
"HP:0001017"	0.0	1.0	1.0	1.0	1.0
"HP:0003213"	0.0	1.0	1.0	1.0	1.0
"HP:0003214"	0.0	1.0	1.0	1.0	1.0
"HP:0003221"	0.0	1.0	1.0	1.0	1.0
