	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"
"Ptosis"	1.0	0.0	1.0	0.0	0.0
"Micrognathia"	1.0	0.0	1.0	0.0	0.0
"Facial asymmetry"	1.0	0.0	1.0	0.0	0.0
"Skeletal muscle atrophy"	0.0	0.0	1.0	0.0	1.0
"Arthrogryposis multiplex congenita"	1.0	0.0	1.0	0.0	1.0
"Hip dislocation"	1.0	0.0	1.0	0.0	0.0
"Turricephaly"	0.0	0.0	0.0	0.0	0.0
"Abnormality of the tongue"	0.0	1.0	1.0	1.0	0.0
"Symphalangism affecting the phalanges of the hand"	1.0	0.0	1.0	0.0	0.0
