	"Orphanet:319213"	"Orphanet:319218"	"Orphanet:341"	"Orphanet:99824"	"Orphanet:99826"	"Orphanet:99827"	"Orphanet:99828"
"HP:0001250"	1.0	1.0	1.0	1.0	0.0	0.0	0.0
"HP:0000365"	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0000509"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002239"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001482"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002202"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002321"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002516"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001410"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0005268"	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0100540"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002716"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0012375"	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"HP:0001933"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0100501"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0100654"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0004372"	0.0	0.0	1.0	0.0	0.0	0.0	0.0
