	"OMIM:125480"	"OMIM:159600"	"OMIM:603204"	"OMIM:604348"	"OMIM:608217"	"OMIM:611364"	"OMIM:615005"	"OMIM:616882"	"OMIM:617080"
"HP:0001249"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000716"	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000718"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0003593"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0100543"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002069"	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
"HP:0006979"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0007359"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000709"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002266"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0100754"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0012075"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002133"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
