	"OMIM:138300"	"OMIM:225450"	"OMIM:230450"	"OMIM:266120"	"OMIM:266140"	"OMIM:270970"	"OMIM:612631"	"OMIM:612690"
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001878"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001271"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003198"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0004445"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001939"	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0004839"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0003641"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0004822"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0006904"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003258"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003343"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0004835"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
