	"OMIM:276821"	"OMIM:602401"	"OMIM:614149"	"OMIM:614927"	"OMIM:614928"	"Orphanet:158676"
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	0.0
"HP:0001762"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002209"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0008391"	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0002187"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002996"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001572"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0040079"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0006349"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0010501"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001802"	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0001810"	0.0	1.0	0.0	0.0	1.0	1.0
"HP:0100840"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0001817"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0005648"	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0007436"	0.0	1.0	0.0	1.0	1.0	0.0
"HP:0200102"	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0012746"	0.0	0.0	0.0	0.0	1.0	0.0
