	"OMIM:130190"	"OMIM:130200"	"OMIM:130300"	"OMIM:130400"	"OMIM:132090"	"OMIM:132300"	"OMIM:605055"	"OMIM:605375"	"OMIM:610353"	"OMIM:614417"
"HP:0001250"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002353"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0002185"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000708"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001425"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0003621"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0002511"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002269"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0006790"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
