	"OMIM:127100"	"OMIM:173100"	"OMIM:215050"	"OMIM:216330"	"OMIM:223550"	"OMIM:262400"	"OMIM:272450"	"OMIM:613342"
"HP:0001518"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000271"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000007"	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
"HP:0000006"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003510"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0002715"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0002827"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0002098"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001943"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001387"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000824"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0005871"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000839"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0008155"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
