	"46,XY sex reversal 4"	"46,XY sex reversal 6"	"46,XY sex reversal 9"	"46,XY sex reversal 10"
"HP:0000006"	1.0	1.0	1.0	1.0
"Micropenis"	0.0	0.0	0.0	1.0
"Sex reversal"	1.0	1.0	1.0	1.0
"Dysgerminoma"	0.0	1.0	0.0	1.0
"Gonadoblastoma"	0.0	1.0	0.0	1.0
"Gonadal dysgenesis"	1.0	0.0	1.0	0.0
"Decreased testicular size"	0.0	0.0	0.0	1.0
"Ambiguous genitalia"	0.0	0.0	1.0	1.0
"Fused labia minora"	0.0	0.0	1.0	0.0
