	"OMIM:202400"	"OMIM:207300"	"OMIM:209050"	"OMIM:227300"	"OMIM:227310"	"OMIM:262890"	"OMIM:607473"	"OMIM:610842"
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000973"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001892"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000421"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003125"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0008169"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0011858"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0002621"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001102"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003540"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003337"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0011900"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0012223"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0008352"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0003225"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0008321"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0008354"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0012201"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
