	"OMIM:100070"	"OMIM:614607"	"OMIM:614608"	"OMIM:614609"	"OMIM:616938"
"HP:0000252"	0.0	0.0	1.0	1.0	1.0
"HP:0001249"	0.0	1.0	1.0	1.0	1.0
"HP:0001250"	0.0	1.0	1.0	1.0	1.0
"HP:0001252"	0.0	0.0	0.0	1.0	0.0
"HP:0000280"	0.0	1.0	1.0	1.0	1.0
"HP:0000750"	0.0	1.0	0.0	0.0	0.0
"HP:0004322"	0.0	1.0	1.0	1.0	1.0
"HP:0001156"	0.0	1.0	0.0	0.0	0.0
"HP:0001263"	0.0	1.0	1.0	1.0	1.0
"HP:0005280"	0.0	1.0	1.0	1.0	1.0
"HP:0000463"	0.0	1.0	1.0	1.0	0.0
"HP:0000377"	0.0	1.0	0.0	0.0	0.0
"HP:0002650"	0.0	0.0	1.0	1.0	0.0
"HP:0030680"	0.0	1.0	1.0	1.0	0.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	0.0	1.0	1.0	1.0	1.0
"HP:0001290"	0.0	1.0	1.0	1.0	0.0
"HP:0001792"	0.0	1.0	0.0	0.0	0.0
"HP:0000365"	0.0	0.0	1.0	1.0	0.0
"HP:0000294"	0.0	1.0	0.0	0.0	1.0
"HP:0001511"	0.0	0.0	1.0	1.0	1.0
"HP:0000179"	0.0	1.0	0.0	0.0	1.0
"HP:0000527"	0.0	1.0	1.0	1.0	1.0
"HP:0002750"	0.0	1.0	1.0	1.0	0.0
"HP:0000445"	0.0	1.0	1.0	1.0	1.0
"HP:0000574"	0.0	1.0	1.0	1.0	1.0
"HP:0001007"	0.0	0.0	1.0	1.0	0.0
"HP:0000154"	0.0	1.0	1.0	1.0	1.0
"HP:0002209"	0.0	1.0	1.0	1.0	1.0
"HP:0000505"	0.0	1.0	1.0	1.0	0.0
"HP:0000158"	0.0	1.0	1.0	1.0	0.0
"HP:0009835"	0.0	1.0	1.0	1.0	0.0
"HP:0000696"	0.0	0.0	1.0	0.0	0.0
"HP:0008070"	0.0	0.0	1.0	0.0	0.0
"HP:0001305"	0.0	0.0	0.0	1.0	1.0
"HP:0002719"	0.0	1.0	0.0	0.0	1.0
"HP:0009928"	0.0	0.0	0.0	1.0	1.0
"HP:0011968"	0.0	1.0	1.0	1.0	1.0
"HP:0000998"	0.0	1.0	1.0	1.0	0.0
"HP:0001273"	0.0	1.0	1.0	1.0	0.0
"HP:0200104"	0.0	1.0	0.0	0.0	0.0
"HP:0200105"	0.0	1.0	0.0	0.0	0.0
