	"Orphanet:932"	"Orphanet:93296"	"Orphanet:93298"	"Orphanet:93299"
"HP:0000256"	1.0	1.0	1.0	1.0
"HP:0002007"	1.0	1.0	1.0	1.0
"HP:0000347"	1.0	1.0	1.0	1.0
"HP:0000023"	1.0	0.0	0.0	0.0
"HP:0000463"	1.0	1.0	1.0	1.0
"HP:0003196"	1.0	1.0	1.0	1.0
"HP:0008873"	0.0	1.0	0.0	0.0
"HP:0000343"	1.0	1.0	1.0	1.0
"HP:0000470"	1.0	1.0	1.0	1.0
"HP:0030680"	1.0	1.0	1.0	1.0
"HP:0001762"	0.0	0.0	1.0	0.0
"HP:0012368"	1.0	1.0	1.0	1.0
"HP:0001162"	0.0	1.0	0.0	0.0
"HP:0004279"	0.0	0.0	0.0	1.0
"HP:0001773"	0.0	0.0	1.0	1.0
"HP:0001537"	1.0	1.0	1.0	1.0
"HP:0002652"	1.0	0.0	0.0	0.0
"HP:0003270"	0.0	1.0	0.0	1.0
"HP:0000774"	1.0	1.0	1.0	1.0
"HP:0001561"	1.0	1.0	1.0	1.0
"HP:0002757"	0.0	0.0	0.0	1.0
"HP:0000772"	0.0	0.0	1.0	0.0
"HP:0002983"	1.0	1.0	1.0	1.0
"HP:0003498"	0.0	0.0	1.0	0.0
"HP:0005716"	0.0	1.0	1.0	1.0
"HP:0003336"	1.0	1.0	1.0	1.0
"HP:0000476"	1.0	1.0	1.0	1.0
"HP:0100541"	0.0	1.0	1.0	1.0
"HP:0000474"	1.0	1.0	1.0	1.0
"HP:0001789"	1.0	1.0	1.0	1.0
"HP:0010306"	1.0	0.0	1.0	1.0
"HP:0006640"	0.0	0.0	0.0	1.0
"HP:0006703"	1.0	1.0	1.0	1.0
"HP:0004348"	1.0	0.0	0.0	0.0
