	"OMIM:300290"	"OMIM:613800"	"OMIM:613803"	"OMIM:613804"	"OMIM:613805"	"OMIM:614732"	"Orphanet:2489"
"HP:0000252"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0001620"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000028"	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0000347"	0.0	1.0	0.0	1.0	1.0	0.0	0.0
"HP:0000160"	0.0	1.0	1.0	1.0	0.0	0.0	0.0
"HP:0001508"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002020"	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"HP:0000325"	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0000343"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000369"	1.0	0.0	1.0	1.0	1.0	1.0	0.0
"HP:0001382"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000327"	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0002816"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000007"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0001270"	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0008551"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002780"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0001511"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000179"	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0002750"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0000319"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0005487"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0003187"	0.0	1.0	1.0	1.0	0.0	0.0	0.0
"HP:0006498"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0000054"	1.0	0.0	1.0	0.0	1.0	1.0	0.0
"HP:0000430"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0006361"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0003042"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000268"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0006443"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0000059"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002097"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0011342"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0003090"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0011968"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002779"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0008665"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0003100"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0000895"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000385"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0003561"	0.0	1.0	1.0	1.0	1.0	0.0	0.0
