	"Orphanet:26"	"Orphanet:622"	"Orphanet:79282"	"Orphanet:79283"	"Orphanet:79284"
"HP:0000252"	1.0	0.0	1.0	0.0	0.0
"HP:0001249"	1.0	0.0	0.0	1.0	0.0
"HP:0001250"	1.0	1.0	1.0	1.0	1.0
"HP:0001252"	1.0	1.0	0.0	0.0	1.0
"HP:0008872"	0.0	0.0	0.0	0.0	1.0
"HP:0000639"	0.0	1.0	0.0	0.0	0.0
"HP:0001263"	1.0	1.0	0.0	1.0	0.0
"HP:0001508"	1.0	1.0	1.0	1.0	1.0
"HP:0000726"	0.0	1.0	0.0	0.0	0.0
"HP:0000708"	1.0	0.0	0.0	1.0	0.0
"HP:0030680"	1.0	0.0	0.0	0.0	0.0
"HP:0000238"	1.0	0.0	1.0	0.0	0.0
"HP:0001251"	0.0	1.0	0.0	0.0	1.0
"HP:0012378"	1.0	0.0	1.0	1.0	0.0
"HP:0000505"	0.0	1.0	0.0	0.0	0.0
"HP:0000988"	1.0	0.0	0.0	0.0	1.0
"HP:0000980"	0.0	0.0	1.0	1.0	0.0
"HP:0002120"	0.0	1.0	0.0	0.0	0.0
"HP:0002013"	0.0	1.0	0.0	0.0	0.0
"HP:0001288"	1.0	0.0	0.0	1.0	0.0
"HP:0000709"	0.0	1.0	0.0	0.0	1.0
"HP:0001254"	1.0	1.0	1.0	1.0	1.0
"HP:0000646"	1.0	0.0	0.0	0.0	0.0
"HP:0011968"	1.0	0.0	0.0	0.0	0.0
"HP:0000488"	1.0	0.0	1.0	0.0	0.0
"HP:0002376"	0.0	0.0	0.0	0.0	1.0
"HP:0010280"	0.0	0.0	0.0	0.0	1.0
"HP:0001980"	1.0	1.0	1.0	1.0	1.0
