	"OMIM:102800"	"OMIM:110150"	"OMIM:129600"	"OMIM:140700"	"OMIM:141700"	"OMIM:178300"	"OMIM:192800"
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0001930"	1.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0000545"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0004445"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0001939"	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0001083"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0007800"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0007970"	0.0	1.0	0.0	0.0	0.0	1.0	1.0
"HP:0005511"	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0005626"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
