	"OMIM:110100"	"OMIM:264080"	"OMIM:616780"	"Orphanet:261529"	"Orphanet:85328"	"Orphanet:881"
"HP:0001650"	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001004"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001647"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0004383"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001513"	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0002967"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000465"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001680"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002037"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0010044"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002613"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0008222"	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0010047"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000987"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002162"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000879"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001800"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0008572"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0005113"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002647"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002608"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000833"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000872"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001045"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001531"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003186"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000476"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0006709"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000474"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001812"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0002611"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0003077"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0000475"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0005294"	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001231"	0.0	0.0	0.0	0.0	1.0	1.0
